priority_group,huboid,name,party,status,sdName,sggName,sgTypecode,office_type_rechecked,proportional_rank,seat_count,estimated_electable,original_office,criminal_or_tax_summary
사기·횡령·배임·뇌물,100154339,이정훈,더불어민주당,등록,강원특별자치도,삼척시,4,지역구/단체장/기타,,,,기초단체장,"사기보조금의예산및관리에관한법률위반건설산업기본법위반 | 일자 확인 불가 | 형량 확인 불가 | 분류 사기,보조금,건축·건설·부동산"
사기·횡령·배임·뇌물,100163388,이대선,더불어민주당,등록,경기도,수원시라선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"사기 | 2016-12-21 | 벌금 1,000,000원 | 분류 사기"
사기·횡령·배임·뇌물,100164219,이종석,더불어민주당,등록,서울특별시,서대문구라선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"사기 | 2023-04-19 | 벌금 3,000,000 | 분류 사기"
사기·횡령·배임·뇌물,100158205,구재용,더불어민주당,등록,인천광역시,서구,4,지역구/단체장/기타,,,,기초단체장,"뇌물공여서구청장선거더불어민주당 | 1996-12-13 | 징역8월집행유예1년 | 분류 뇌물,공직선거법,허위공문서·문서위조·공용서류,공무집행방해,환경,건축·건설·부동산"
사기·횡령·배임·뇌물,100156458,이정운,더불어민주당,등록,전남광주통합특별시,무안군제2선거구,5,지역구/단체장/기타,,,,광역의원,"허위공문서작성 허위작성공문서행사 업무상배임 특정경제범죄가중처벌등에관한 법률위반(배임) | 2006-08-17 | 징역2년, 집행유예3년 | 분류 배임"
사기·횡령·배임·뇌물,100159466,차영수,더불어민주당,등록,전라남도,강진군,4,지역구/단체장/기타,,,,기초단체장,"업무방해건설업법위반특정경제범죄가중처벌등에관한법률위반(사기)강진군수선거더불어민주당 | 1991-04-03 | 징역10월집행유예2년 | 분류 사기,업무방해,건축·건설·부동산"
사기·횡령·배임·뇌물,100160386,송종화,더불어민주당,등록,전라남도,고흥군라선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"업무상 횡령 | 2019-02-08 | 징역 6월, 집행유예 1년 | 분류 횡령"
사기·횡령·배임·뇌물,100160676,장세일,더불어민주당,등록,전라남도,영광군,4,지역구/단체장/기타,,,,기초단체장,"별지제12호서식의(카)]선거 | 일자 확인 불가 | 징역6월집행유예1년 | 분류 사기,보조금"
사기·횡령·배임·뇌물,100160943,임원희,더불어민주당,등록,전라남도,완도군나선거구,6,지역구/단체장/기타,,,,지역구 기초의원,배임 특수공무집행방해 | 2001-11-23 | 징역1년6월 집행유예 2년 | 분류 배임; 배임 | 2007-08-23 | 징역 6월 집행유예 1년 | 분류 배임
사기·횡령·배임·뇌물,100154075,임승식,더불어민주당,등록,전북특별자치도,정읍시제1선거구,5,지역구/단체장/기타,,,,광역의원,사기 | 2004-07-14 | 벌금1.500.000원 | 분류 사기
성범죄·마약,100160464,박진수,국민의힘,등록,경상남도,밀양시마선거구,6,지역구/단체장/기타,,,,지역구 기초의원,마약류관리에관한법률위반 | 2011-06-29 | 벌금500만원 | 분류 마약
성범죄·마약,100165618,김장환,국민의힘,등록,경상북도,상주시,9,비례,2,2,Y,기초의원 비례,"윤락행위등방지법위반윤락행위등방지법위반 | 일자 확인 불가 | 벌금2,000,000원 | 분류 성범죄"
성범죄·마약,100163340,김진출,국민의힘,등록,대구광역시,서구가선거구,6,지역구/단체장/기타,,,,지역구 기초의원,"마약류관리에관한법률위반(향정) | 2002-10-17 | 벌금2,000,000% | 분류 마약"
