시도,기초단체장단위,8회당선정당,민주-국힘격차(%p),1·2위격차(%p),민주득표율,국힘득표율,8회사전(%),9회사전(%),사전증감(%p),8회접전(±10),텃밭거스름
대전광역시,대덕구,국민의힘,-6.74,6.74,46.63,53.37,19.19,22.15,2.96,Y,
경기도,광명시,더불어민주당,6.88,6.88,53.44,46.56,22.59,24.12,1.53,Y,
경기도,남양주시,국민의힘,-6.88,6.88,46.56,53.44,16.61,18.86,2.25,Y,
서울특별시,동작구,국민의힘,-7.08,7.08,46.46,53.54,23.18,25.79,2.61,Y,
강원특별자치도,원주시,국민의힘,-7.1,7.1,46.45,53.55,21.44,23.84,2.4,Y,
전라남도,곡성군,더불어민주당,53.59,7.18,53.59,0.0,45.88,50.34,4.46,,
경기도,고양시,국민의힘,-7.3,7.3,44.85,52.15,19.22,21.13,1.91,Y,
부산광역시,영도구,국민의힘,-7.4,7.4,46.3,53.7,22.47,24.5,2.03,Y,
경기도,김포시,국민의힘,-7.62,7.62,44.8,52.42,16.93,18.63,1.7,Y,
경상북도,경산시,국민의힘,-53.87,7.74,0.0,53.87,14.7,16.37,1.67,,
경기도,광주시,국민의힘,-7.78,7.78,46.11,53.89,17.23,21.49,4.26,Y,
경상남도,하동군,무소속,-22.94,8.01,15.37,38.31,43.52,40.88,-2.64,,Y
전라남도,장성군,더불어민주당,54.04,8.08,54.04,0.0,45.32,45.52,0.2,,
경상남도,산청군,국민의힘,-51.62,8.74,0.0,51.62,37.18,37.06,-0.12,,
경기도,이천시,국민의힘,-9.16,9.16,45.42,54.58,19.94,22.1,2.16,Y,
경기도,양평군,국민의힘,-9.34,9.34,45.33,54.67,27.11,26.84,-0.27,Y,
충청북도,단양군,국민의힘,-9.36,9.36,45.32,54.68,33.29,31.36,-1.93,Y,
경상북도,고령군,국민의힘,-42.11,9.44,0.0,42.11,27.67,26.49,-1.18,,
인천광역시,미추홀구,국민의힘,-9.46,9.46,45.27,54.73,18.98,20.26,1.28,Y,
충청남도,계룡시,국민의힘,-9.5,9.5,45.25,54.75,25.86,27.82,1.96,Y,
전라남도,무안군,무소속,37.53,9.5,37.53,0.0,29.7,36.78,7.08,,Y
충청북도,괴산군,국민의힘,-9.6,9.6,45.2,54.8,37.11,39.03,1.92,Y,
인천광역시,연수구,국민의힘,-9.64,9.64,45.18,54.82,20.26,21.92,1.66,Y,
경상북도,영천시,무소속,-43.8,9.64,0.0,43.8,25.01,23.25,-1.76,,Y
울산광역시,동구,진보당,-45.17,9.66,0.0,45.17,22.48,23.76,1.28,,Y
충청북도,음성군,더불어민주당,9.68,9.68,54.84,45.16,23.72,25.6,1.88,Y,
강원특별자치도,태백시,국민의힘,-9.72,9.72,44.32,54.04,32.61,33.5,0.89,Y,
전라남도,강진군,무소속,0.0,9.76,0.0,0.0,45.01,52.16,7.15,Y,Y
충청북도,영동군,국민의힘,-10.15,10.15,39.67,49.82,34.21,35.47,1.26,,
전북특별자치도,장수군,더불어민주당,53.62,10.28,53.62,0.0,43.7,51.73,8.03,,
충청남도,공주시,국민의힘,-10.32,10.32,44.84,55.16,26.0,28.86,2.86,,
서울특별시,양천구,국민의힘,-10.37,10.37,43.98,54.35,21.65,24.31,2.66,,
경기도,구리시,국민의힘,-10.53,10.53,43.56,54.09,19.09,21.28,2.19,,
울산광역시,북구,국민의힘,-10.59,10.59,40.02,50.61,18.27,22.83,4.56,,
경기도,용인시,국민의힘,-10.74,10.74,44.63,55.37,20.14,22.42,2.28,,
