seats,dem_count,dem_pct,con_count,con_pct
0,0,0.0,38,0.38
1,0,0.0,788,7.88
2,0,0.0,2942,29.42
3,0,0.0,4152,41.52
4,0,0.0,1872,18.72
5,0,0.0,202,2.02
6,0,0.0,6,0.06
8,6,0.06,0,0.0
9,202,2.02,0,0.0
10,1872,18.72,0,0.0
11,4152,41.52,0,0.0
12,2942,29.42,0,0.0
13,788,7.88,0,0.0
14,38,0.38,0,0.0
