sido,dem_win_prob,con_win_prob
전남광주통합특별시,0.9918,0.0082
전북특별자치도,0.9792,0.0208
세종특별자치시,0.6286,0.3714
제주특별자치도,0.5347,0.4653
충청남도,0.4675,0.5325
서울특별시,0.442,0.558
대전광역시,0.3958,0.6042
인천광역시,0.3751,0.6249
강원특별자치도,0.3507,0.6493
충청북도,0.3319,0.6681
경기도,0.3167,0.6833
부산광역시,0.1531,0.8469
경상남도,0.1048,0.8952
울산광역시,0.0994,0.9006
대구광역시,0.0681,0.9319
경상북도,0.0149,0.9851
