sdName,sggName,office,office_type,sgTypecode,의원정수,등록후보수,경쟁률,무투표당선여부,무투표판정기준,비례대표_단일정당명부여부,등록미달여부,경쟁률_1미만여부,해당선거구_후보huboid_리스트,해당선거구_후보명_리스트,해당선거구_정당_리스트,체납이력_후보수,현체납_후보수,전과공개_후보수,공직검증전과_후보수,공직선거법전과_후보수,체납+공직검증전과_동시보유_후보수,검증위험_플래그,district_key
강원특별자치도,춘천시사선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100157327, 100155764","권희영, 김용갑","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|강원특별자치도|춘천시사선거구
경기도,고양시타선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100163494, 100159098","김정희, 오우람","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|경기도|고양시타선거구
경기도,광주시라선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100161499, 100158741","박상영, 이강섭","더불어민주당, 국민의힘",1,0,1,0,0,0,Y,6|경기도|광주시라선거구
경기도,성남시나선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100157479, 100156367","김선임, 이상호","더불어민주당, 국민의힘",1,0,1,0,0,0,Y,6|경기도|성남시나선거구
경기도,성남시다선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100157554, 100155443","박기범, 김주현","더불어민주당, 국민의힘",1,0,0,0,0,0,Y,6|경기도|성남시다선거구
경기도,수원시나선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100164900, 100160234","오세철, 김은수","더불어민주당, 국민의힘",1,0,1,1,0,0,Y,6|경기도|수원시나선거구
경기도,안산시라선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100163886, 100162572","이재복, 설호영","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|경기도|안산시라선거구
경기도,안산시바선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100158386, 100162220","안두회, 김재국","더불어민주당, 국민의힘",0,0,2,2,1,0,Y,6|경기도|안산시바선거구
경기도,용인시아선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100163004, 100162284","장정순, 강영웅","더불어민주당, 국민의힘",2,0,0,0,0,0,Y,6|경기도|용인시아선거구
경기도,하남시라선거구,구시군의회의원,지역구,6,2,2,1.00,Y,등록후보수_의원정수이하,N,N,N,"100163591, 100157563","오승철, 정경섭","더불어민주당, 국민의힘",0,0,1,1,0,0,Y,6|경기도|하남시라선거구
