huboid,name,party,office,office_type,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,criminal_record_disclosure,categories,important_categories,공직검증전과_분류수,공직검증전과_건수,체납이력_보유,현체납_보유,전과공개_보유,공직검증전과_보유,공직선거법전과_보유,해당선거구_경쟁률,해당선거구_의원정수,해당선거구_무투표판정기준,해당선거구_비례대표_단일정당명부여부,등록미달여부,검증위험_플래그,우선순위_사유
100156458,이정운,더불어민주당,시도의원,지역구,전라남도,무안군제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156458,0,0천원,0,0천원,1건,배임; 허위공문서·문서위조·공용서류,배임; 허위공문서·문서위조·공용서류,2,1,N,N,Y,Y,N,1.00,1,등록후보수_의원정수이하,N,N,Y,사기·횡령·뇌물·배임 전과: 배임; 공직 검증 전과 2개 분류
100154075,임승식,더불어민주당,시도의원,지역구,전북특별자치도,정읍시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154075,8947,"8,947천원",0,0천원,1건,사기,사기,1,1,Y,N,Y,Y,N,1.00,1,등록후보수_의원정수이하,N,N,Y,사기·횡령·뇌물·배임 전과: 사기
100161391,이우청,국민의힘,시도의원,지역구,경상북도,김천시제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161391,0,0천원,0,0천원,3건,뇌물; 폭력,뇌물,1,1,N,N,Y,Y,N,1.00,1,등록후보수_의원정수이하,N,N,Y,사기·횡령·뇌물·배임 전과: 뇌물
100163407,이규선,국민의힘,구시군의회의원,지역구,서울특별시,영등포구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163407,0,0천원,0,0천원,2건,횡령; 폭력; 도로교통,횡령,1,0,N,N,Y,Y,N,1.00,2,등록후보수_의원정수이하,N,N,Y,사기·횡령·뇌물·배임 전과: 횡령
100160943,임원희,더불어민주당,구시군의회의원,지역구,전라남도,완도군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160943,0,0천원,0,0천원,7건,배임; 공무집행방해; 환경; 건축·건설·부동산,배임,1,0,N,N,Y,Y,N,1.00,2,등록후보수_의원정수이하,N,N,Y,사기·횡령·뇌물·배임 전과: 배임
100162389,김명현,국민의힘,구시군의회의원,지역구,대전광역시,서구마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162389,1419,"1,419천원",0,0천원,4건,허위공문서·문서위조·공용서류; 음주·위험운전; 무면허운전; 교통사고; 도로교통,허위공문서·문서위조·공용서류; 음주·위험운전; 무면허운전,3,1,Y,N,Y,Y,N,1.00,3,등록후보수_의원정수이하,N,N,Y,공직 검증 전과 3개 분류
100163853,정현호,국민의힘,구시군의회의원,지역구,경기도,양주시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163853,0,0천원,0,0천원,5건,음주·위험운전; 무면허운전; 교통사고; 도로교통,음주·위험운전; 무면허운전,2,1,N,N,Y,Y,N,1.00,3,등록후보수_의원정수이하,N,N,Y,공직 검증 전과 2개 분류
100156371,박강우,국민의힘,구시군의회의원,지역구,경상남도,창원시사선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156371,0,0천원,0,0천원,2건,음주·위험운전; 무면허운전; 도로교통,음주·위험운전; 무면허운전,2,1,N,N,Y,Y,N,1.00,2,등록후보수_의원정수이하,N,N,Y,공직 검증 전과 2개 분류
100162812,최병근,국민의힘,시도의원,지역구,경상북도,김천시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162812,0,0천원,0,0천원,2건,특가법; 음주·위험운전; 도로교통,특가법; 음주·위험운전,2,1,N,N,Y,Y,N,1.00,1,등록후보수_의원정수이하,N,N,Y,공직 검증 전과 2개 분류
100159729,강대성,더불어민주당,구시군의회의원,지역구,전라남도,신안군라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159729,0,0천원,0,0천원,3건,음주·위험운전; 무면허운전; 도로교통,음주·위험운전; 무면허운전,2,1,N,N,Y,Y,N,1.00,2,등록후보수_의원정수이하,N,N,Y,공직 검증 전과 2개 분류
100162867,최종오,더불어민주당,시도의원,지역구,전북특별자치도,익산시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162867,0,0천원,0,0천원,2건,음주·위험운전; 무면허운전; 도로교통,음주·위험운전; 무면허운전,2,1,N,N,Y,Y,N,1.00,1,등록후보수_의원정수이하,N,N,Y,공직 검증 전과 2개 분류
100162802,이동협,국민의힘,시도의원,지역구,경상북도,경주시제4선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162802,0,0천원,0,0천원,3건,음주·위험운전; 무면허운전; 도로교통; 건축·건설·부동산,음주·위험운전; 무면허운전,2,0,N,N,Y,Y,N,1.00,1,등록후보수_의원정수이하,N,N,Y,공직 검증 전과 2개 분류
