huboid,name,party,region,office,proportional_rank,seat_count,electable_order,uncontested,status,v1_categories,v2_categories,v2_keywords,v2_broad_keywords,offense_summaries,change_status,nec_detail_url,pdf_urls
100164166,나성주,더불어민주당,광주광역시 서구,기초의원 비례,2,2,Y,N,등록,사기,사기,보험사기방지특별법; 사기,,"보험사기방지특별법 / 사기 (일자 행 매핑 실패, 형량 행 매핑 실패)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164166,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg2902/Hb100164166/junkwa/20260514085154066_8.PDF
100164264,김미경,국민의힘,경상북도 안동시,기초의원 비례,1,2,Y,N,등록,사기,사기,사기,,"사기김미경 (일자 확인 불가, 징역6월집행유예2년)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164264,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4706/Hb100164264/junkwa/20260514124734738_9.PDF
100164510,이재화,국민의힘,충청북도,광역의원 비례,1,5,Y,N,등록,사기; 횡령,사기; 횡령,사기; 점유이탈물횡령; 횡령,,"사기 / 점유이탈물횡령 / 횡령 (일자 행 매핑 실패, 형량 행 매핑 실패)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164510,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4300/Hb100164510/junkwa/20260513221557644_9.PDF
100165260,강순자,국민의힘,충청남도 보령시,기초의원 비례,1,2,Y,N,등록,배임,배임,배임; 업무상배임,,"업무상배임 (일자 확인 불가, 벌금5,000,000원)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165260,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4403/Hb100165260/junkwa/20260515182859841_12.PDF
100165302,김경희,더불어민주당,경상남도 통영시,기초의원 비례,2,2,Y,N,등록,횡령,횡령,업무상횡령; 횡령,,"업무상횡령김경희 (일자 확인 불가, 형량 확인 불가)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165302,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4805/Hb100165302/junkwa/20260514173921944_8.PDF
100165318,하금연,국민의힘,서울특별시 도봉구,기초의원 비례,1,2,Y,Y,등록,,사기,부정수표단속법위반,부정수표단속법위반,"부정수표단속법위반 (일자 행 매핑 실패, 형량 행 매핑 실패)",v2_added,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165318,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg1110/Hb100165318/junkwa/20260515143815011_8.PDF
100165763,권태익,국민의힘,경기도,광역의원 비례,6,21,Y,N,등록,횡령,횡령,업무상횡령; 횡령,,"업무상횡령권태익 (일자 확인 불가, 벌금2,000,000원)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165763,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4100/Hb100165763/junkwa/20260515220133727_8.PDF
100165774,김두일,국민의힘,경기도 성남시,기초의원 비례,4,4,Y,N,등록,배임,배임,배임,,"폭력행위등처벌에관한법률위반도로교통법위반배임배임직업안정법위반국민의힘 (일자 확인 불가, 벌금1,000,000원)",v1+v2,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165774,https://info.nec.go.kr/unielec_pdf_file/20260603/open/Gsg4106/Hb100165774/junkwa/20260515172628433_8.PDF
