name,count,share_of_affected,base_count,rate_within_base
국민의힘,451,42.1%,2744,16.4%
더불어민주당,391,36.5%,3214,12.2%
무소속,135,12.6%,888,15.2%
조국혁신당,36,3.4%,263,13.7%
개혁신당,23,2.1%,192,12.0%
진보당,18,1.7%,316,5.7%
자유와혁신,7,0.7%,48,14.6%
사회민주당,2,0.2%,6,33.3%
공화당,1,0.1%,8,12.5%
국민당,1,0.1%,3,33.3%
국민대통합당,1,0.1%,3,33.3%
기독당,1,0.1%,1,100.0%
기본소득당,1,0.1%,32,3.1%
대한국민당,1,0.1%,3,33.3%
새미래민주당,1,0.1%,9,11.1%
자유민주당,1,0.1%,1,100.0%
자유통일당,1,0.1%,12,8.3%
