name,count,share_of_affected,base_count,rate_within_base
구시군의회의원,4401,56.2%,4401,100.0%
시도의원,1657,21.2%,1657,100.0%
기초의원비례,672,8.6%,672,100.0%
기초단체장,585,7.5%,585,100.0%
광역의원비례,354,4.5%,354,100.0%
교육감,58,0.7%,58,100.0%
시도지사,54,0.7%,54,100.0%
국회의원(재보궐),47,0.6%,47,100.0%
