name,count,share_of_affected,base_count,rate_within_base
국민의힘,481,37.2%,2744,17.5%
더불어민주당,457,35.3%,3214,14.2%
무소속,235,18.2%,888,26.5%
조국혁신당,50,3.9%,263,19.0%
진보당,36,2.8%,316,11.4%
개혁신당,16,1.2%,192,8.3%
자유와혁신,6,0.5%,48,12.5%
정의당,4,0.3%,51,7.8%
공화당,2,0.2%,8,25.0%
기본소득당,2,0.2%,32,6.3%
국민당,1,0.1%,3,33.3%
국민연합,1,0.1%,7,14.3%
사회민주당,1,0.1%,6,16.7%
친미연합,1,0.1%,3,33.3%
