name,count,share_of_affected,base_count,rate_within_base
구시군의회의원,777,60.1%,4401,17.7%
시도의원,297,23.0%,1657,17.9%
기초단체장,108,8.4%,585,18.5%
기초의원비례,52,4.0%,672,7.7%
광역의원비례,37,2.9%,354,10.5%
국회의원(재보궐),8,0.6%,47,17.0%
교육감,7,0.5%,58,12.1%
시도지사,7,0.5%,54,13.0%
