name,count,share_of_affected,base_count,rate_within_base
더불어민주당,950,36.2%,3214,29.6%
국민의힘,914,34.8%,2744,33.3%
무소속,430,16.4%,888,48.4%
진보당,148,5.6%,316,46.8%
조국혁신당,94,3.6%,263,35.7%
개혁신당,35,1.3%,192,18.2%
정의당,16,0.6%,51,31.4%
자유와혁신,14,0.5%,48,29.2%
기본소득당,4,0.2%,32,12.5%
공화당,3,0.1%,8,37.5%
국민연합,3,0.1%,7,42.9%
노동당,3,0.1%,9,33.3%
새미래민주당,3,0.1%,9,33.3%
국민당,2,0.1%,3,66.7%
대한국민당,2,0.1%,3,66.7%
사회민주당,2,0.1%,6,33.3%
친미연합,2,0.1%,3,66.7%
국민주권당,1,0.0%,2,50.0%
한국독립당,1,0.0%,4,25.0%
