huboid,name,party,office,region,sdName,sggName,nec_detail_url,criminal_record_disclosure,categories,important_categories,offense_count_extracted,matched_terms
100157944,박영근,조국혁신당,구시군의회의원,전라남도 목포시사선거구,전라남도,목포시사선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157944,3건,음주·위험운전; 도로교통; 노동,음주·위험운전,1,음주·위험운전:음주운전; 도로교통:도로교통법; 노동:근로기준법
100158585,김승호,더불어민주당,구시군의회의원,전라남도 여수시나선거구,전라남도,여수시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158585,2건,공직선거법; 폭력,공직선거법,0,공직선거법:공직선거법; 폭력:폭력행위
100154087,백진오,조국혁신당,구시군의회의원,전라남도 여수시나선거구,전라남도,여수시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154087,3건,음주·위험운전; 폭력; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 폭력:폭력행위|상해; 도로교통:도로교통법
100156431,박남조,무소속,구시군의회의원,전라남도 여수시나선거구,전라남도,여수시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156431,3건,음주·위험운전; 도로교통,음주·위험운전,0,음주·위험운전:음주운전; 도로교통:도로교통법
100157178,이상우,조국혁신당,구시군의회의원,전라남도 여수시다선거구,전라남도,여수시다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157178,1건,음주·위험운전; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 도로교통:도로교통법
100160945,구민호,더불어민주당,구시군의회의원,전라남도 여수시라선거구,전라남도,여수시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160945,2건,음주·위험운전; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 도로교통:도로교통법
100157582,송하진,무소속,구시군의회의원,전라남도 여수시라선거구,전라남도,여수시라선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157582,1건,음주·위험운전; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 도로교통:도로교통법
100165474,서범룡,더불어민주당,구시군의회의원,전라남도 여수시마선거구,전라남도,여수시마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165474,1건,음주·위험운전; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 도로교통:도로교통법
100158369,김순종,무소속,구시군의회의원,전라남도 여수시바선거구,전라남도,여수시바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158369,2건,음주·위험운전; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 도로교통:도로교통법
100160498,강재헌,무소속,구시군의회의원,전라남도 여수시사선거구,전라남도,여수시사선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160498,2건,음주·위험운전; 교통사고; 도로교통,음주·위험운전,1,음주·위험운전:음주운전; 교통사고:교통사고처리특례법|교통사고처리특례; 도로교통:도로교통법
