category,count,share_of_criminal_pdf_candidates,note
음주·위험운전,949,36.1%,후보별 중복 분류 가능
공직선거법,150,5.7%,후보별 중복 분류 가능
사기,100,3.8%,후보별 중복 분류 가능
무면허운전,95,3.6%,후보별 중복 분류 가능
허위공문서·문서위조·공용서류,54,2.1%,후보별 중복 분류 가능
횡령,50,1.9%,후보별 중복 분류 가능
특가법,40,1.5%,후보별 중복 분류 가능
보조금,28,1.1%,후보별 중복 분류 가능
배임,22,0.8%,후보별 중복 분류 가능
뇌물,19,0.7%,후보별 중복 분류 가능
절도,14,0.5%,후보별 중복 분류 가능
정치자금법,11,0.4%,후보별 중복 분류 가능
조세,8,0.3%,후보별 중복 분류 가능
직권남용,6,0.2%,후보별 중복 분류 가능
청탁금지법,3,0.1%,후보별 중복 분류 가능
성범죄,3,0.1%,후보별 중복 분류 가능
