huboid,name,party,office,region,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,criminal_categories,important_criminal_categories
100159351,이명환,무소속,구시군의회의원,경상남도 산청군나선거구,경상남도,산청군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159351,141,14만원,0,음주·위험운전; 무면허운전; 도로교통,음주·위험운전; 무면허운전
100163597,길태호,무소속,구시군의회의원,충청남도 금산군가선거구,충청남도,금산군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163597,141,14만원,0,업무방해; 도로교통,
100156094,윤한웅,국민의힘,구시군의회의원,경기도 안성시나선거구,경기도,안성시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156094,139,14만원,0,음주·위험운전; 도로교통,음주·위험운전
100158709,윤해명,무소속,구시군의회의원,충청북도 증평군가선거구,충청북도,증평군가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158709,139,14만원,0,업무방해,
100161853,이오남,더불어민주당,구시군의회의원,경기도 가평군나선거구,경기도,가평군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161853,137,14만원,0,노동,
100156349,남호준,국민의힘,구시군의회의원,경상남도 창원시차선거구,경상남도,창원시차선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156349,137,14만원,0,음주·위험운전; 도로교통,음주·위험운전
100157011,김태용,무소속,구시군의회의원,부산광역시 동구나선거구,부산광역시,동구나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157011,137,14만원,0,음주·위험운전; 폭력; 도로교통,음주·위험운전
100160063,권성현,국민의힘,시도의원,경상남도 창원시제1선거구,경상남도,창원시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160063,132,13만원,0,음주·위험운전; 도로교통,음주·위험운전
100157715,안성황,국민의힘,구시군의회의원,경상남도 진주시가선거구,경상남도,진주시가선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157715,132,13만원,0,음주·위험운전; 도로교통,음주·위험운전
100164999,김선옥,진보당,광역의원비례,광주광역시 전남광주통합특별시,광주광역시,전남광주통합특별시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164999,132,13만원,0,업무방해,
100155046,김대성,더불어민주당,구시군의회의원,광주광역시 동구나선거구,광주광역시,동구나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155046,130,13만원,0,도로교통,
100160590,전병웅,국민의힘,구시군의회의원,경상남도 진주시사선거구,경상남도,진주시사선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160590,128,13만원,0,허위공문서·문서위조·공용서류; 음주·위험운전; 폭력; 공무집행방해; 도로교통,허위공문서·문서위조·공용서류; 음주·위험운전
100165271,홍건숙,더불어민주당,기초의원비례,전라남도 목포시,전라남도,목포시,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165271,128,13만원,0,폭력,
100164396,정종복,더불어민주당,시도의원,전북특별자치도 전주시제3선거구,전북특별자치도,전주시제3선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164396,126,13만원,0,자동차관리,
100159961,이종섭,국민의힘,구시군의회의원,경상남도 산청군나선거구,경상남도,산청군나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159961,126,13만원,0,건축·건설·부동산,
