name,count,share_of_affected,base_count,rate_within_base
국민의힘,29,43.9%,2744,1.1%
무소속,16,24.2%,888,1.8%
더불어민주당,10,15.2%,3214,0.3%
개혁신당,4,6.1%,192,2.1%
조국혁신당,3,4.5%,263,1.1%
기독당,1,1.5%,1,100.0%
대한국민당,1,1.5%,3,33.3%
자유민주당,1,1.5%,1,100.0%
자유와혁신,1,1.5%,48,2.1%
