name,count,share_of_affected,base_count,rate_within_base
경기도,189,14.6%,1201,15.7%
경상남도,149,11.5%,712,20.9%
경상북도,141,10.9%,691,20.4%
전라남도,107,8.3%,486,22.0%
강원특별자치도,102,7.9%,490,20.8%
서울특별시,97,7.5%,1036,9.4%
충청남도,84,6.5%,479,17.5%
전북특별자치도,75,5.8%,455,16.5%
인천광역시,60,4.6%,330,18.2%
부산광역시,56,4.3%,460,12.2%
대구광역시,54,4.2%,326,16.6%
충청북도,54,4.2%,349,15.5%
울산광역시,38,2.9%,187,20.3%
전남광주통합특별시,29,2.2%,137,21.2%
대전광역시,25,1.9%,174,14.4%
제주특별자치도,15,1.2%,100,15.0%
광주광역시,14,1.1%,158,8.9%
세종특별자치시,4,0.3%,57,7.0%
