name,count,share_of_affected,base_count,rate_within_base
구시군의회의원,644,60.1%,4401,14.6%
시도의원,212,19.8%,1657,12.8%
기초의원비례,90,8.4%,672,13.4%
기초단체장,65,6.1%,585,11.1%
광역의원비례,42,3.9%,354,11.9%
교육감,7,0.7%,58,12.1%
국회의원(재보궐),7,0.7%,47,14.9%
시도지사,5,0.5%,54,9.3%
