name,count,share_of_affected,base_count,rate_within_base
경기도,182,17.0%,1201,15.2%
경상북도,135,12.6%,691,19.5%
서울특별시,101,9.4%,1036,9.7%
경상남도,99,9.2%,712,13.9%
충청남도,76,7.1%,479,15.9%
강원특별자치도,60,5.6%,490,12.2%
전북특별자치도,58,5.4%,455,12.7%
인천광역시,55,5.1%,330,16.7%
부산광역시,53,4.9%,460,11.5%
전라남도,52,4.9%,486,10.7%
충청북도,45,4.2%,349,12.9%
대구광역시,38,3.5%,326,11.7%
울산광역시,28,2.6%,187,15.0%
대전광역시,26,2.4%,174,14.9%
광주광역시,24,2.2%,158,15.2%
전남광주통합특별시,17,1.6%,137,12.4%
제주특별자치도,14,1.3%,100,14.0%
세종특별자치시,9,0.8%,57,15.8%
