전국순위,시도,시군구,유형,선거인수,사전투표자수,사전투표율,평균대비_%p,시도내순위
224,경기도,화성시만세구,구,232020,45996,19.82,-3.66,36
225,경기도,부천시오정구,구,135693,26749,19.71,-3.77,37
226,대구광역시,동구,구,299000,57219,19.14,-4.34,4
227,경상북도,경주시,시,217575,41547,19.1,-4.38,18
228,서울특별시,강남구,구,470870,89878,19.09,-4.39,25
229,충청북도,청주시흥덕구,구,247085,47108,19.07,-4.41,13
230,경기도,안산시단원구,구,262612,49716,18.93,-4.55,38
231,경기도,오산시,시,214520,40518,18.89,-4.59,39
232,경기도,남양주시,시,620926,117126,18.86,-4.62,40
233,경기도,수원시권선구,구,343552,64585,18.8,-4.68,41
234,경기도,김포시,시,402400,74980,18.63,-4.85,42
235,경기도,화성시효행구,구,104432,19339,18.52,-4.96,43
236,경상남도,양산시,시,306477,56743,18.51,-4.97,22
237,충청남도,아산시,시,302051,55762,18.46,-5.02,14
238,대구광역시,서구,구,149275,27360,18.33,-5.15,5
239,경기도,안산시상록구,구,288548,52717,18.27,-5.21,44
240,경기도,시흥시,시,443131,80912,18.26,-5.22,45
241,경기도,파주시,시,449127,80623,17.95,-5.53,46
242,경상북도,구미시,시,340775,60789,17.84,-5.64,19
243,부산광역시,기장군,군,146538,26092,17.81,-5.67,16
244,대구광역시,남구,구,127887,22631,17.7,-5.78,6
245,충청북도,청주시청원구,구,158304,28023,17.7,-5.78,14
246,충청남도,천안시서북구,구,301234,52997,17.59,-5.89,15
247,대구광역시,달성군,군,210490,36920,17.54,-5.94,7
248,대구광역시,북구,구,357639,62350,17.43,-6.05,8
249,경상북도,칠곡군,군,90951,15846,17.42,-6.06,20
250,충청남도,천안시동남구,구,269296,46796,17.38,-6.1,16
251,경기도,평택시,시,525517,91072,17.33,-6.15,47
252,대구광역시,달서구,구,449699,77437,17.22,-6.26,9
253,경상북도,포항시남구,구,186164,31335,16.83,-6.65,21
254,경상북도,경산시,시,231808,37942,16.37,-7.11,22
255,경상북도,포항시북구,구,235850,38453,16.3,-7.18,23
