시도,시군구,사전투표율_8회,사전투표율_9회,격차_%p
경기도,과천시,25.97,25.99,0.02
경상북도,봉화군,33.0,33.01,0.01
충청남도,부여군,29.59,29.5,-0.09
경상남도,산청군,37.18,37.06,-0.12
경기도,양평군,27.11,26.84,-0.27
경기도,성남시분당구,21.99,21.68,-0.31
전라남도,고흥군,49.66,49.33,-0.33
경상북도,포항시북구,16.68,16.3,-0.38
충청남도,보령시,28.89,28.39,-0.5
강원특별자치도,인제군,31.87,31.31,-0.56
경상남도,고성군,32.54,31.66,-0.88
강원특별자치도,횡성군,33.18,32.29,-0.89
경상북도,김천시,28.4,27.47,-0.93
경상북도,포항시남구,17.88,16.83,-1.05
경상북도,고령군,27.67,26.49,-1.18
인천광역시,계양구,22.66,21.33,-1.33
경상북도,영천시,25.01,23.25,-1.76
경상북도,영주시,27.91,26.1,-1.81
충청북도,단양군,33.29,31.36,-1.93
인천광역시,옹진군,36.94,34.6,-2.34
경상남도,의령군,37.8,35.43,-2.37
경상북도,청송군,37.35,34.88,-2.47
경상북도,성주군,37.37,34.81,-2.56
경상남도,하동군,43.52,40.88,-2.64
경상북도,상주시,31.61,28.87,-2.74
경상북도,경주시,22.41,19.1,-3.31
경상남도,함양군,42.34,38.86,-3.48
경상북도,청도군,33.51,29.75,-3.76
경상북도,울릉군,47.09,40.81,-6.28
경상북도,영양군,47.08,40.4,-6.68
경상북도,의성군,44.14,36.62,-7.52
대구광역시,군위군,52.08,39.82,-12.26
