sim_id,강원특별자치도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,서울특별시,세종특별자치시,울산광역시,인천광역시,전라남도,전북특별자치도,제주특별자치도,충청남도,충청북도
85,D,D,R,R,D,R,R,R,D,D,R,R,D,D,R,D,D
86,R,R,R,R,D,R,D,R,R,D,R,R,D,D,D,D,R
87,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
88,R,R,R,R,D,R,R,R,R,R,R,R,D,R,R,R,R
89,R,R,D,R,D,R,D,D,D,D,R,D,D,D,D,D,D
90,R,D,D,R,D,R,D,D,D,D,D,D,D,D,D,D,D
91,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,D,D
92,D,R,D,R,D,R,D,R,D,D,R,R,D,D,D,R,R
93,D,R,R,R,D,R,R,R,D,R,R,R,D,D,D,D,D
94,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,D,R
95,R,D,R,R,D,R,R,R,D,R,R,R,D,D,R,D,R
96,R,D,R,R,D,R,R,R,D,D,R,D,D,D,D,D,D
97,R,R,R,R,D,R,D,R,R,D,R,R,D,D,R,R,R
98,D,D,R,R,D,R,D,R,R,D,R,D,D,D,D,D,D
99,R,R,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
100,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
101,R,D,R,R,D,R,D,R,R,R,R,R,D,D,R,R,R
102,R,D,R,R,D,R,D,R,D,D,R,R,D,D,R,R,R
103,D,R,R,R,D,R,R,R,R,R,R,D,D,D,D,D,R
104,R,R,R,R,D,R,R,R,R,D,R,R,D,D,D,R,R
105,R,R,R,R,D,R,R,R,R,D,R,R,D,D,R,D,R
106,D,R,R,R,D,R,D,R,R,D,R,R,D,D,R,D,R
107,D,R,R,R,D,R,D,R,D,R,R,R,D,D,R,D,R
108,R,R,R,R,D,R,R,R,R,R,R,R,D,D,D,D,D
109,R,R,R,R,D,R,R,R,D,D,R,R,D,D,R,D,R
110,D,D,R,R,D,R,R,D,D,R,R,D,D,D,R,D,R
111,R,D,R,R,D,R,R,R,R,R,R,R,D,D,R,R,R
112,R,R,R,R,D,R,R,R,D,R,R,R,D,D,D,R,R
113,R,R,R,R,D,R,R,R,D,R,R,D,D,D,R,D,R
114,R,R,R,R,D,R,D,R,D,D,R,D,D,D,D,R,R
115,R,R,R,R,D,R,R,D,R,D,R,R,D,D,R,R,R
116,D,R,R,R,D,R,R,R,R,R,R,R,D,R,R,R,D
117,D,R,R,R,D,R,R,R,R,D,R,R,D,D,R,R,R
118,R,D,R,R,D,R,R,D,R,R,R,R,D,D,D,R,R
