seats,dem_count,dem_pct,con_count,con_pct
0,0,0.0,142,1.42
1,0,0.0,2181,21.81
2,0,0.0,4781,47.81
3,0,0.0,2565,25.65
4,0,0.0,321,3.21
5,0,0.0,10,0.1
9,10,0.1,0,0.0
10,321,3.21,0,0.0
11,2565,25.65,0,0.0
12,4781,47.81,0,0.0
13,2181,21.81,0,0.0
14,142,1.42,0,0.0
