party,total_candidates,criminal_record_candidates,criminal_record_rate,official_vetting_record_candidates,official_vetting_record_rate,hard_vetting_record_candidates,hard_vetting_record_rate,economic_trust_record_candidates,economic_trust_record_rate,election_integrity_record_candidates,election_integrity_record_rate,tax_arrears_5y_candidates,tax_arrears_5y_rate,tax_arrears_5y_sum_thousand_krw,tax_arrears_current_candidates,tax_arrears_current_rate,tax_arrears_current_sum_thousand_krw,money_trust_flag_candidates,money_trust_flag_rate,any_vetting_flag_candidates,any_vetting_flag_rate,uncontested_candidates,uncontested_rate,uncontested_with_any_vetting_flag
국민의힘,2744,914,33.3%,500,18.2%,137,5.0%,56,2.0%,66,2.4%,451,16.4%,5270625,29,1.1%,495437,498,18.1%,853,31.1%,198,7.2%,64
더불어민주당,3214,950,29.6%,479,14.9%,141,4.4%,48,1.5%,75,2.3%,391,12.2%,3247863,11,0.3%,662718,432,13.4%,799,24.9%,280,8.7%,69
