rank,huboid,name,party,party_short,office,sdName,sggName,region,criminal_record_count,has_criminal_record,ocr_categories,official_vetting_categories,economic_trust_categories,election_integrity_categories,public_admin_categories,tax_public_money_categories,traffic_safety_categories,has_official_vetting_record,has_hard_vetting_record,has_economic_trust_record,has_election_integrity_record,has_public_admin_record,has_tax_public_money_record,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,has_tax_arrears_5y,has_tax_arrears_current,has_money_trust_flag,has_any_vetting_flag,is_uncontested_candidate,job,career1,career2,nec_detail_url,priority_reason
50,100155248,배성철,더불어민주당,민주당,구시군의회의원,충청북도,청주시카선거구,충청북도 청주시카선거구,0,False,,,,,,,,False,False,False,False,False,False,9191,919만원,0,0원,True,False,True,True,True,하나종합공구 공동대표,(현)더불어민주당 청주 청원구 지역위원회 내수읍 당원 협의회장,(현)내수읍모해센터&소극장 위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155248,무투표 당선; 최근 5년 체납 919만원
51,100164780,홍육례,더불어민주당,민주당,기초의원비례,인천광역시,서구,인천광역시 서구,1,True,"도로교통, 무면허운전",무면허운전,,,,,무면허운전,True,False,False,False,False,False,6388,638만원,0,0원,True,False,True,True,True,천사노인복지센터시설장,(현)더불어민주당 인천서구(을) 복지위원회위원장,(전)인천시당여성위원회부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164780,무투표 당선; 최근 5년 체납 638만원
52,100161144,권창환,국민의힘,국힘,구시군의회의원,부산광역시,수영구가선거구,부산광역시 수영구가선거구,0,False,,,,,,,,False,False,False,False,False,False,4890,489만원,0,0원,True,False,True,True,True,유노아이티 대표이사,(전)수영구 민주평화통일 자문회의 자문위원,(현)국민의힘 수영구 당원협의회 남천2동 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161144,무투표 당선; 최근 5년 체납 489만원
53,100161499,박상영,더불어민주당,민주당,구시군의회의원,경기도,광주시라선거구,경기도 광주시라선거구,3,True,"건축·건설·부동산, 공무집행방해",,,,,,,False,False,False,False,False,False,4777,477만원,0,0원,True,False,True,True,True,광주시의회의원,(현)제9대 광주시의회 후반기 부의장,(전)초월읍 이장협의회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161499,무투표 당선; 최근 5년 체납 477만원
54,100155789,김태호,더불어민주당,민주당,구시군의회의원,서울특별시,영등포구바선거구,서울특별시 영등포구바선거구,1,True,,,,,,,,False,False,False,False,False,False,4476,447만원,0,0원,True,False,True,True,True,(주)에스지애드원 대표이사,(현)더불어민주당 영등포을조직강화부위원장,(전)신길5동주민자치위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155789,무투표 당선; 최근 5년 체납 447만원
55,100162893,윤병열,국민의힘,국힘,구시군의회의원,경상남도,의령군다선거구,경상남도 의령군다선거구,0,False,,,,,,,,False,False,False,False,False,False,4401,440만원,0,0원,True,False,True,True,True,의령군의회의원,(전)의령군의회 전반기 부의장,(현)의령군의회 윤리특별위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162893,무투표 당선; 최근 5년 체납 440만원
56,100164269,김현지,더불어민주당,민주당,기초의원비례,서울특별시,구로구,서울특별시 구로구,0,False,,,,,,,,False,False,False,False,False,False,4302,430만원,0,0원,True,False,True,True,True,프리랜서 아나운서,(현)더불어민주당 서울시당 대변인,(현)더불어민주당 구로구을 청년위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164269,무투표 당선; 최근 5년 체납 430만원
57,100158243,김민섭,국민의힘,국힘,구시군의회의원,서울특별시,강북구라선거구,서울특별시 강북구라선거구,3,True,"건축·건설·부동산, 재물손괴",,,,,,,False,False,False,False,False,False,3756,375만원,0,0원,True,False,True,True,True,오마니오리구이 대표,(현) 국민의힘 강북(을) 당원협의회 운영위원,(현) (사)한국외식업중앙회 강북구지회 부지회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158243,무투표 당선; 최근 5년 체납 375만원
58,100163912,김대진,국민의힘,국힘,시도의원,경상북도,안동시제1선거구,경상북도 안동시제1선거구,2,True,"농수산, 도로교통, 음주·위험운전",음주·위험운전,,,,,음주·위험운전,True,False,False,False,False,False,3307,330만원,0,0원,True,False,True,True,True,경북도의원,(현)경북도의원,(전)안동청년유도회 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163912,무투표 당선; 최근 5년 체납 330만원
59,100163389,신윤경,더불어민주당,민주당,구시군의회의원,서울특별시,은평구바선거구,서울특별시 은평구바선거구,0,False,,,,,,,,False,False,False,False,False,False,3143,314만원,0,0원,True,False,True,True,True,정당인,(전)국회의원 김우영 선임비서관,(전)제8대 은평구의회 의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163389,무투표 당선; 최근 5년 체납 314만원
60,100162726,최혜숙,국민의힘,국힘,구시군의회의원,서울특별시,양천구아선거구,서울특별시 양천구아선거구,0,False,,,,,,,,False,False,False,False,False,False,3037,303만원,0,0원,True,False,True,True,True,양천구의회의원,(현)제9대 양천구의회의원,(전)제7대 양천구의회의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162726,무투표 당선; 최근 5년 체납 303만원
61,100155185,최인희,더불어민주당,민주당,구시군의회의원,부산광역시,부산진구다선거구,부산광역시 부산진구다선거구,0,False,,,,,,,,False,False,False,False,False,False,2452,245만원,0,0원,True,False,True,True,True,주)에스제이무역 이사,(현)더불어민주당 부산진구갑 여성위원장,(현)노무현재단 부산진지회 부회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155185,무투표 당선; 최근 5년 체납 245만원
62,100162882,조미선,국민의힘,국힘,구시군의회의원,경기도,오산시나선거구,경기도 오산시나선거구,0,False,,,,,,,,False,False,False,False,False,False,2082,208만원,0,0원,True,False,True,True,True,오산시의회의원,(현)국제로타리3750지구 통역위원회 위원,(현)국민의힘 중앙차세대 여성위원회 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162882,무투표 당선; 최근 5년 체납 208만원
63,100164835,박은화,국민의힘,국힘,기초의원비례,경상북도,칠곡군,경상북도 칠곡군,0,False,,,,,,,,False,False,False,False,False,False,1887,188만원,0,0원,True,False,True,True,True,승우상사 이사,(현)국민의힘 고령성주칠곡 당원협의회 부위원장,(전)바르게살기운동 왜관읍 위원회 위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164835,무투표 당선; 최근 5년 체납 188만원
64,100164427,안선영,국민의힘,국힘,기초의원비례,부산광역시,동래구,부산광역시 동래구,0,False,,,,,,,,False,False,False,False,False,False,1846,184만원,0,0원,True,False,True,True,True,영진부동산 이사,(현) 동래구 당원협의회 차세대여성위원장,(전) 동래교육지원청 학부모운영위협의회 부회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164427,무투표 당선; 최근 5년 체납 184만원
65,100163259,전경구,국민의힘,국힘,구시군의회의원,서울특별시,중랑구마선거구,서울특별시 중랑구마선거구,1,True,폭력,,,,,,,False,False,False,False,False,False,1826,182만원,0,0원,True,False,True,True,True,중랑구의회 의원,(현)제9대 중랑구의회 의원,(전)중랑구의회 행정재경위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163259,무투표 당선; 최근 5년 체납 182만원
66,100156896,김철현,국민의힘,국힘,구시군의회의원,부산광역시,남구나선거구,부산광역시 남구나선거구,0,False,,,,,,,,False,False,False,False,False,False,1595,159만원,0,0원,True,False,True,True,True,부산 남구의회 의원,(현)남구의회 의원,(전)덕천종합사회복지관 사회복지사,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156896,무투표 당선; 최근 5년 체납 159만원
67,100162460,이은미,더불어민주당,민주당,시도의원,경기도,안산시제5선거구,경기도 안산시제5선거구,0,False,,,,,,,,False,False,False,False,False,False,1412,141만원,0,0원,True,False,True,True,True,경기도의회의원,(현)경기도의회의원,(현)더불어민주당 정책위원회 부의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162460,무투표 당선; 최근 5년 체납 141만원
68,100161872,김세호,국민의힘,국힘,구시군의회의원,경상북도,김천시마선거구,경상북도 김천시마선거구,0,False,,,,,,,,False,False,False,False,False,False,1356,135만원,0,0원,True,False,True,True,True,김천시의회의원,(현) 김천시의회 의회운영위원장,(전) 김천라이온스 클럽 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161872,무투표 당선; 최근 5년 체납 135만원
69,100160234,김은수,국민의힘,국힘,구시군의회의원,경기도,수원시나선거구,경기도 수원시나선거구,0,False,,,,,,,,False,False,False,False,False,False,1218,121만원,0,0원,True,False,True,True,True,정당인,(전)제10대 수원시의원(안전교통건설위원장),(현)국민의힘 경기도당 대변인,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160234,무투표 당선; 최근 5년 체납 121만원
70,100162465,이상승,국민의힘,국힘,구시군의회의원,경상북도,칠곡군나선거구,경상북도 칠곡군나선거구,0,False,,,,,,,,False,False,False,False,False,False,934,93만원,0,0원,True,False,True,True,True,칠곡군의회의원,(전)8대 칠곡군의회의원,(현)칠곡군의회의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162465,무투표 당선; 최근 5년 체납 93만원
71,100162284,강영웅,국민의힘,국힘,구시군의회의원,경기도,용인시아선거구,경기도 용인시아선거구,0,False,,,,,,,,False,False,False,False,False,False,854,85만원,0,0원,True,False,True,True,True,용인시의원,(현) 국민의힘 용인시의회의원,(현) 국민의힘 중앙연수원 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162284,무투표 당선; 최근 5년 체납 85만원
72,100161018,박지현,더불어민주당,민주당,구시군의회의원,경기도,광주시다선거구,경기도 광주시다선거구,0,False,,,,,,,,False,False,False,False,False,False,829,82만원,0,0원,True,False,True,True,True,참재가노인복지센터 대표,(전)국회의원 소병훈의원실 비서(6급상당),(현)더불어민주당 광주시을 지역위원회 홍보소통위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161018,무투표 당선; 최근 5년 체납 82만원
73,100165832,김선아,더불어민주당,민주당,기초의원비례,인천광역시,연수구,인천광역시 연수구,0,False,,,,,,,,False,False,False,False,False,False,828,82만원,0,0원,True,False,True,True,True,경영인,(현)더불어민주당 연수을 지역위원회 여성위원장,(현)주식회사이스틴대표,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165832,무투표 당선; 최근 5년 체납 82만원
74,100160880,문현섭,국민의힘,국힘,구시군의회의원,서울특별시,강동구다선거구,서울특별시 강동구다선거구,0,False,,,,,,,,False,False,False,False,False,False,804,80만원,0,0원,True,False,True,True,True,강동구의원,(현)강동구의회 국민의힘 원내대표,(현)국민의힘 강동(갑) 전주혜당협위원장 사무국장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160880,무투표 당선; 최근 5년 체납 80만원
75,100163625,연규식,국민의힘,국힘,시도의원,경상북도,포항시제4선거구,경상북도 포항시제4선거구,0,False,,,,,,,,False,False,False,False,False,False,785,78만원,0,0원,True,False,True,True,True,경상북도의회의원,(전)포항환경학교 교장,(현)경상북도의회 의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163625,무투표 당선; 최근 5년 체납 78만원
76,100165544,정소혜,더불어민주당,민주당,기초의원비례,전라남도,무안군,전라남도 무안군,0,False,,,,,,,,False,False,False,False,False,False,618,61만원,0,0원,True,False,True,True,True,정당인,(현)더불어민주당 영암무안신안지역위원회 여성위원회 부위원장,(현)더불어민주당 정책위원회 부의장 ,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165544,무투표 당선; 최근 5년 체납 61만원
77,100164206,서주영,더불어민주당,민주당,기초의원비례,인천광역시,남동구,인천광역시 남동구,0,False,,,,,,,,False,False,False,False,False,False,530,53만원,0,0원,True,False,True,True,True,건강백세재가복지센터 대표,(현)건강백세재가복지센터 대표,(현)민주평화통일자문회의인천남동구협의회협의회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164206,무투표 당선; 최근 5년 체납 53만원
78,100157554,박기범,더불어민주당,민주당,구시군의회의원,경기도,성남시다선거구,경기도 성남시다선거구,0,False,,,,,,,,False,False,False,False,False,False,525,52만원,0,0원,True,False,True,True,True,성남시의회의원,(현)성남시의회의원,(현)공인노무사,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157554,무투표 당선; 최근 5년 체납 52만원
79,100163266,전석광,국민의힘,국힘,구시군의회의원,대전광역시,대덕구다선거구,대전광역시 대덕구다선거구,1,True,"도로교통, 음주·위험운전",음주·위험운전,,,,,음주·위험운전,True,False,False,False,False,False,500,50만원,0,0원,True,False,True,True,True,정당인,(전)대덕구의회 경제도시위원장,(현)대덕구의회 의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163266,무투표 당선; 최근 5년 체납 50만원
80,100155875,이경민,더불어민주당,민주당,구시군의회의원,강원특별자치도,원주시아선거구,강원특별자치도 원주시아선거구,1,True,"도로교통, 음주·위험운전",음주·위험운전,,,,,음주·위험운전,True,False,False,False,False,False,473,47만원,0,0원,True,False,True,True,True,정당인,(현)더불어민주당 강원특별자치도당 부위원장,(현)더불어민주당 강원기본사회 사무국장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155875,무투표 당선; 최근 5년 체납 47만원
81,100161196,김세윤,더불어민주당,민주당,구시군의회의원,전라남도,완도군나선거구,전라남도 완도군나선거구,1,True,업무방해,,,,,,,False,False,False,False,False,False,440,44만원,0,0원,True,False,True,True,True,축산업,(전) 고금면 영부리이장,(현) 바르게살기운동 완도군청년회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100161196,무투표 당선; 최근 5년 체납 44만원
82,100158545,김동규,국민의힘,국힘,구시군의회의원,인천광역시,부평구다선거구,인천광역시 부평구다선거구,0,False,,,,,,,,False,False,False,False,False,False,423,42만원,0,0원,True,False,True,True,True,정당인,(현)국민의힘 인천광역시당 대변인,(현)국민의힘 부평구갑 청년위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158545,무투표 당선; 최근 5년 체납 42만원
83,100157410,주동열,국민의힘,국힘,구시군의회의원,경상북도,경주시다선거구,경상북도 경주시다선거구,1,True,건축·건설·부동산,,,,,,,False,False,False,False,False,False,415,41만원,0,0원,True,False,True,True,True,자영업,(전)동경주이장연합회 회장,(현)경주시의원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157410,무투표 당선; 최근 5년 체납 41만원
84,100165409,김정아,국민의힘,국힘,기초의원비례,인천광역시,연수구,인천광역시 연수구,0,False,,,,,,,,False,False,False,False,False,False,414,41만원,0,0원,True,False,True,True,True,정당인,(현) 국민의힘 인천광역시당 차세대여성위원회 부위원장,(현) 민주평화통일자문회의 인천지역회의 여성분과위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165409,무투표 당선; 최근 5년 체납 41만원
85,100165321,변소영,국민의힘,국힘,기초의원비례,경상북도,청도군,경상북도 청도군,0,False,,,,,,,,False,False,False,False,False,False,410,41만원,0,0원,True,False,True,True,True,회사원,(현)청도군여성단체협의회장,(현)청도공영사업공사비상임이사,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165321,무투표 당선; 최근 5년 체납 41만원
86,100165157,김승자,국민의힘,국힘,기초의원비례,인천광역시,미추홀구,인천광역시 미추홀구,0,False,,,,,,,,False,False,False,False,False,False,358,35만원,0,0원,True,False,True,True,True,정당인,(전)국회의원 선임비서관,(현)국민의힘 인천광역시당 여성위원회 동구미추홀구을 지회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165157,무투표 당선; 최근 5년 체납 35만원
87,100164844,유향,국민의힘,국힘,기초의원비례,경상남도,하동군,경상남도 하동군,1,True,"도로교통, 음주·위험운전",음주·위험운전,,,,,음주·위험운전,True,False,False,False,False,False,344,34만원,0,0원,True,False,True,True,True,주부,(전)민주평화통일자문회의 하동군협의회장(20기),(현)국민의힘 하동군 하동읍 여성협의회 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164844,무투표 당선; 최근 5년 체납 34만원
88,100155915,박승찬,더불어민주당,민주당,구시군의회의원,충청북도,청주시라선거구,충청북도 청주시라선거구,0,False,,,,,,,,False,False,False,False,False,False,315,31만원,0,0원,True,False,True,True,True,청주시의회의원,(현) 남성초등학교 총동문회 부회장,(현) 더불어민주당 교육연수원 부원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155915,무투표 당선; 최근 5년 체납 31만원
89,100156373,김길자,더불어민주당,민주당,구시군의회의원,서울특별시,영등포구다선거구,서울특별시 영등포구다선거구,0,False,,,,,,,,False,False,False,False,False,False,310,31만원,0,0원,True,False,True,True,True,정당인,"(전)제6,7,8대 영등포구의원",(현)더불어민주당영등포구(갑) 교육연수위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156373,무투표 당선; 최근 5년 체납 31만원
90,100162101,이성근,국민의힘,국힘,구시군의회의원,대구광역시,북구다선거구,대구광역시 북구다선거구,1,True,"도로교통, 음주·위험운전",음주·위험운전,,,,,음주·위험운전,True,False,False,False,False,False,295,29만원,0,0원,True,False,True,True,True,북구의회의원,(현)대구광역시 북구의회 의원,(현)연암주민장학회 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162101,무투표 당선; 최근 5년 체납 29만원
91,100154962,김환연,더불어민주당,민주당,구시군의회의원,인천광역시,부평구바선거구,인천광역시 부평구바선거구,0,False,,,,,,,,False,False,False,False,False,False,260,26만원,0,0원,True,False,True,True,True,정치인,(전)부평구의회의원,(현)더불어민주당 부평구을 소상공인위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154962,무투표 당선; 최근 5년 체납 26만원
92,100157928,박원서,더불어민주당,민주당,구시군의회의원,서울특별시,강동구다선거구,서울특별시 강동구다선거구,1,True,,,,,,,,False,False,False,False,False,False,218,21만원,0,0원,True,False,True,True,True,정당인,(전)한국체육대학교 특임교수,(현)강동구의회 부의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157928,무투표 당선; 최근 5년 체납 21만원
93,100160631,이은경,더불어민주당,민주당,구시군의회의원,서울특별시,노원구라선거구,서울특별시 노원구라선거구,0,False,,,,,,,,False,False,False,False,False,False,218,21만원,0,0원,True,False,True,True,True,정당인,(현)노원(을)지역위원회 공동여성위원장,(현)노원구 청소년지도협의회 위원,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160631,무투표 당선; 최근 5년 체납 21만원
94,100158317,박창선,국민의힘,국힘,구시군의회의원,경기도,오산시나선거구,경기도 오산시나선거구,0,False,,,,,,,,False,False,False,False,False,False,194,19만원,0,0원,True,False,True,True,True,정당인,(전) 국민의힘 경기도당 부위원장,(현) 오산시 풋살연맹 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158317,무투표 당선; 최근 5년 체납 19만원
95,100165001,최윤정,국민의힘,국힘,기초의원비례,경상북도,울릉군,경상북도 울릉군,0,False,,,,,,,,False,False,False,False,False,False,188,18만원,0,0원,True,False,True,True,True,어린이집 원장,(전) 울릉군 여성단체협의회 회장,(현) 꿈나무어린이집 원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100165001,무투표 당선; 최근 5년 체납 18만원
96,100158073,김재년,국민의힘,국힘,구시군의회의원,충청북도,청주시라선거구,충청북도 청주시라선거구,0,False,,,,,,,,False,False,False,False,False,False,162,16만원,0,0원,True,False,True,True,True,회사원,(현) 청주서부소방서 의용소방대 산남지역대장,(전) 국민의힘 청주시서원구당원협의회 사무국장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158073,무투표 당선; 최근 5년 체납 16만원
97,100164699,류정단,국민의힘,국힘,기초의원비례,경상북도,봉화군,경상북도 봉화군,0,False,,,,,,,,False,False,False,False,False,False,146,14만원,0,0원,True,False,True,True,True,포토스튜디오 대표,(현)봉화예총 회장,(현)국민의힘 영주영양봉화당원협의회 봉화군 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164699,무투표 당선; 최근 5년 체납 14만원
98,100160206,이양재,국민의힘,국힘,구시군의회의원,경상북도,봉화군나선거구,경상북도 봉화군나선거구,0,False,,,,,,,,False,False,False,False,False,False,133,13만원,0,0원,True,False,True,True,True,농업,(전)봉성면장,(현)봉성면 사과발전협의회 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100160206,무투표 당선; 최근 5년 체납 13만원
99,100162839,황진환,국민의힘,국힘,구시군의회의원,서울특별시,영등포구마선거구,서울특별시 영등포구마선거구,0,False,,,,,,,,False,False,False,False,False,False,133,13만원,0,0원,True,False,True,True,True,교육서비스업(진로진학 상담),(현)여의동 주민자치위원장,(전)21기 민주평통 영등포구협의회 2지회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162839,무투표 당선; 최근 5년 체납 13만원
100,100162037,최미자,더불어민주당,민주당,구시군의회의원,대전광역시,서구마선거구,대전광역시 서구마선거구,0,False,,,,,,,,False,False,False,False,False,False,121,12만원,0,0원,True,False,True,True,True,서구의회의원,(전)서구자원봉사협의회장,(전)사단법인자치분권연대 대전공동대표,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162037,무투표 당선; 최근 5년 체납 12만원
101,100162541,임옥연,국민의힘,국힘,구시군의회의원,서울특별시,양천구사선거구,서울특별시 양천구사선거구,0,False,,,,,,,,False,False,False,False,False,False,117,11만원,0,0원,True,False,True,True,True,양천구의회의원,(전)제5·6대 양천구의회의원,(전)한나라당 서울특별시당 부대변인,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162541,무투표 당선; 최근 5년 체납 11만원
102,100154283,한준희,더불어민주당,민주당,시도의원,전북특별자치도,군산시제4선거구,전북특별자치도 군산시제4선거구,1,True,교통사고,,,,,,,False,False,False,False,False,False,105,10만원,0,0원,True,False,True,True,True,개인사업자,(전)더불어민주당 청년명예국회의원,(전)더불어민주당 전북특별자치도당 인구소멸대책특별위원회 위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154283,무투표 당선; 최근 5년 체납 10만원
103,100158986,이철호,국민의힘,국힘,구시군의회의원,경상북도,고령군다선거구,경상북도 고령군다선거구,0,False,,,,,,,,False,False,False,False,False,False,105,10만원,0,0원,True,False,True,True,True,고령군의회의장,(전) 쌍림농협 이사,(현) 고령군의회의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100158986,무투표 당선; 최근 5년 체납 10만원
104,100164997,임정숙,더불어민주당,민주당,기초의원비례,부산광역시,금정구,부산광역시 금정구,0,False,,,,,,,,False,False,False,False,False,False,103,10만원,0,0원,True,False,True,True,True,정당인,(현) 금정구 주민참여예산위원회 문화복지분과위원회 간사,(현) 더불어민주당 부산광역시당 교육연수위원회 부위원장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164997,무투표 당선; 최근 5년 체납 10만원
105,100163931,조양덕,국민의힘,국힘,기초단체장,전북특별자치도,전주시,전북특별자치도 전주시,2,True,"교통사고, 사기, 절도, 허위공문서·문서위조·공용서류","사기, 절도, 허위공문서·문서위조·공용서류",사기,,허위공문서·문서위조·공용서류,,,True,True,True,False,True,False,0,0원,0,0원,False,False,True,True,False,예원예술대학교 객원교수,(전)재단법인 원음방송 프로듀서(사원),(현)예원예술대학교 객원교수,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163931,경제·신뢰 전과(사기); 공직·문서 전과(허위공문서·문서위조·공용서류)
106,100156458,이정운,더불어민주당,민주당,시도의원,전남광주통합특별시,무안군제2선거구,전남광주통합특별시 무안군제2선거구,1,True,"배임, 허위공문서·문서위조·공용서류","배임, 허위공문서·문서위조·공용서류",배임,,허위공문서·문서위조·공용서류,,,True,True,True,False,True,False,0,0원,0,0원,False,False,True,True,False,정당인,(전)무안군청 지방행정사무관,(전)제8대 무안군의회 전반기의장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156458,경제·신뢰 전과(배임); 공직·문서 전과(허위공문서·문서위조·공용서류)
107,100159441,서대석,국민의힘,국힘,구시군의회의원,충청북도,음성군다선거구,충청북도 음성군다선거구,1,True,"사기, 허위공문서·문서위조·공용서류","사기, 허위공문서·문서위조·공용서류",사기,,허위공문서·문서위조·공용서류,,,True,True,True,False,True,False,0,0원,0,0원,False,False,True,True,False,농업인,(현)국민의힘 충북도당 환경대책 특별위원장,(현)음성군 배구협회 회장,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100159441,경제·신뢰 전과(사기); 공직·문서 전과(허위공문서·문서위조·공용서류)
108,100157949,임정구,더불어민주당,민주당,구시군의회의원,충청북도,진천군가선거구,충청북도 진천군가선거구,3,True,"뇌물, 도로교통, 음주·위험운전","뇌물, 음주·위험운전",뇌물,,,,음주·위험운전,True,True,True,False,False,False,7142,714만원,0,0원,True,False,True,True,False,(주)진천고속관광 대표이사,(전)제8대 진천군의회의원,(현)(주)진천고속관광 대표이사,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100157949,경제·신뢰 전과(뇌물); 최근 5년 체납 714만원
109,100163682,이정임,더불어민주당,민주당,구시군의회의원,경상북도,구미시바선거구,경상북도 구미시바선거구,2,True,사기,사기,사기,,,,,True,True,True,False,False,False,3823,382만원,0,0원,True,False,True,True,False,정당인,(전)구미시의회의원(4대.5대),(전)구미시청 공무원 ,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163682,경제·신뢰 전과(사기); 최근 5년 체납 382만원
