party,party_short,total_candidates,criminal_record_candidates,criminal_record_rate_pct,official_vetting_record_candidates,official_vetting_record_rate_pct,economic_trust_record_candidates,economic_trust_record_rate_pct,tax_arrears_5y_candidates,tax_arrears_5y_rate_pct,tax_arrears_current_candidates,tax_arrears_current_rate_pct,money_trust_flag_candidates,money_trust_flag_rate_pct,any_vetting_flag_candidates,any_vetting_flag_rate_pct
더불어민주당,민주당,3214,950,29.56,479,14.9,48,1.49,391,12.17,11,0.34,432,13.44,799,24.86
국민의힘,국힘,2744,914,33.31,500,18.22,56,2.04,451,16.44,29,1.06,498,18.15,853,31.09
조국혁신당,조국,263,94,35.74,51,19.39,5,1.9,36,13.69,3,1.14,41,15.59,77,29.28
진보당,진보,316,148,46.84,38,12.03,1,0.32,18,5.7,0,0.0,19,6.01,56,17.72
개혁신당,개혁,192,35,18.23,16,8.33,5,2.6,23,11.98,4,2.08,26,13.54,34,17.71
