party,정당전체후보수,무투표당선_후보수,정당전체후보대비_무투표비율,전과신고_후보수,최근5년체납_후보수,현체납_후보수,전과또는체납_합집합,무투표후보내_전과또는체납비율
더불어민주당,3214,314,9.8,81,38,2,106,33.8
국민의힘,2744,198,7.2,56,35,1,81,40.9
진보당,316,1,0.3,1,1,0,1,100.0
기타,1554,0,0.0,0,0,0,0,0.0
