party,무투표당선_후보수,무투표당선_선거구수,무투표당선_선거구_공천횟수,체납이력_후보수,체납이력_후보를_낸_선거구수,공직검증전과_후보수,공직검증전과_후보를_낸_선거구수,공직선거법전과_후보수,공직선거법전과_후보를_낸_선거구수,정당전체후보수,정당전체후보대비_무투표후보비율
더불어민주당,297,254,297,38,37,42,41,3,3,3214,9.2
국민의힘,196,184,196,34,33,33,33,5,5,2744,7.1
진보당,1,1,1,1,1,0,0,0,0,316,0.3
