시도,시군구,민주_확률_혼합,민주_확률_보통,민주_확률_정권심판
충청남도,당진시,0.3745,0.2909,0.7397
충청북도,음성군,0.3742,0.2975,0.7633
인천광역시,연수구,0.373,0.2973,0.7629
대전광역시,대덕구,0.3664,0.2695,0.7815
대전광역시,동구(대전),0.3636,0.2887,0.7113
경기도,안성시,0.3635,0.2713,0.7799
경기도,용인시,0.3592,0.2696,0.7641
인천광역시,미추홀구,0.3587,0.2835,0.6984
충청남도,부여군,0.3495,0.2909,0.6157
경기도,이천시,0.346,0.2909,0.6114
충청남도,천안시,0.3387,0.2749,0.6696
서울특별시,송파구,0.3363,0.242,0.7574
인천광역시,남구(인천),0.3358,0.259,0.678
충청북도,영동군,0.3338,0.2803,0.6318
제주특별자치도,북제주군,0.3319,0.2597,0.6784
충청남도,계룡시,0.3227,0.2514,0.6467
강원특별자치도,삼척시,0.3197,0.2473,0.6119
강원특별자치도,평창군,0.3164,0.2367,0.6916
강원특별자치도,철원군,0.3146,0.2459,0.6898
강원특별자치도,태백시,0.2993,0.2244,0.6648
강원특별자치도,양구군,0.2918,0.232,0.5896
충청북도,보은군,0.2832,0.2349,0.5585
충청북도,단양군,0.2772,0.2038,0.6271
강원특별자치도,홍천군,0.2761,0.2037,0.6719
충청북도,괴산군,0.273,0.206,0.6013
경기도,과천시,0.2708,0.186,0.639
충청북도,충주시,0.2687,0.1833,0.6542
충청남도,청양군,0.265,0.2103,0.5252
강원특별자치도,고성군(강원),0.2629,0.1991,0.6054
대전광역시,중구(대전),0.2608,0.1806,0.5948
강원특별자치도,춘천시,0.2602,0.2011,0.5768
충청남도,홍성군,0.2531,0.1758,0.6572
경기도,동두천시,0.252,0.1855,0.5902
강원특별자치도,고성군,0.2517,0.1828,0.5402
부산광역시,강서구,0.2396,0.147,0.6545
인천광역시,남동구,0.2348,0.173,0.5187
인천광역시,동구,0.2158,0.1632,0.5116
강원특별자치도,영월군,0.2151,0.1552,0.5439
경기도,여주군,0.2109,0.1294,0.6275
경기도,포천시,0.2108,0.139,0.5838
경상남도,남해군,0.2106,0.1664,0.474
경상남도,양산시,0.2038,0.1302,0.577
강원특별자치도,양양군,0.2018,0.1355,0.5554
부산광역시,남구,0.1997,0.1175,0.5921
경기도,연천군,0.1912,0.1076,0.5676
경상남도,함양군,0.191,0.1403,0.4279
강원특별자치도,속초시,0.1892,0.1264,0.5077
부산광역시,북구,0.1859,0.1173,0.5324
경상북도,청송군,0.1821,0.1515,0.363
부산광역시,영도구,0.1799,0.1314,0.4488
충청남도,보령시,0.1738,0.0977,0.5455
부산광역시,사하구,0.1732,0.1132,0.468
울산광역시,중구,0.1686,0.1214,0.4196
부산광역시,사상구,0.1672,0.1302,0.3868
부산광역시,동래구,0.1551,0.0861,0.456
울산광역시,북구,0.1499,0.0914,0.4338
울산광역시,동구,0.1495,0.1025,0.4094
경상남도,하동군,0.1483,0.11,0.3095
경상남도,거제시,0.1473,0.0931,0.4269
부산광역시,기장군,0.1445,0.0959,0.4033
부산광역시,동구,0.1427,0.1089,0.3258
경상남도,창원시,0.1415,0.0888,0.3995
경상북도,영양군,0.1407,0.1059,0.3566
강원특별자치도,화천군,0.1404,0.0915,0.3854
울산광역시,울주군,0.1378,0.0951,0.3835
경상남도,고성군,0.1356,0.0839,0.4357
강원특별자치도,강릉시,0.1317,0.0973,0.3454
강원특별자치도,동해시,0.1303,0.0738,0.4076
경상남도,통영시,0.1267,0.0723,0.4096
부산광역시,해운대구,0.1245,0.0732,0.3882
부산광역시,부산진구,0.12,0.0667,0.3964
경상북도,상주시,0.119,0.0726,0.3479
경상북도,울릉군,0.1186,0.0768,0.3363
서울특별시,강남구,0.1184,0.071,0.3975
부산광역시,남구(부산),0.1158,0.0617,0.3752
대전광역시,서구(대전),0.1098,0.0586,0.3586
경기도,가평군,0.1028,0.0468,0.3944
경상남도,밀양시,0.1004,0.0659,0.2596
부산광역시,연제구,0.1003,0.0616,0.3306
경기도,양평군,0.1002,0.0639,0.3113
경상남도,의령군,0.0989,0.0576,0.3364
경기도,여주시,0.0981,0.0409,0.4193
부산광역시,금정구,0.0971,0.0683,0.2504
대구광역시,서구(대구),0.0966,0.0505,0.3305
서울특별시,서초구,0.0947,0.0481,0.369
부산광역시,중구(부산),0.0901,0.0476,0.3208
충청남도,예산군,0.0824,0.0383,0.29
경상북도,칠곡군,0.0749,0.0391,0.3027
울산광역시,북구(울산),0.0695,0.033,0.2693
경상남도,산청군,0.0689,0.0409,0.2403
경상북도,울진군,0.0681,0.0338,0.2541
부산광역시,수영구,0.064,0.0394,0.2101
부산광역시,중구,0.0554,0.0236,0.2565
울산광역시,남구,0.0535,0.0178,0.2298
부산광역시,서구,0.0437,0.0175,0.2055
경상북도,구미시,0.0433,0.0186,0.1842
대구광역시,중구(대구),0.0419,0.0155,0.1914
경상북도,안동시,0.0414,0.0126,0.2097
경상남도,사천시,0.0396,0.0166,0.1792
부산광역시,강서구(부산),0.039,0.0169,0.1912
경상남도,진해시,0.0377,0.0083,0.2117
경상북도,의성군,0.0371,0.0178,0.1372
경상남도,진주시,0.037,0.0088,0.2243
울산광역시,남구(울산),0.0369,0.0124,0.1764
경상남도,창녕군,0.0327,0.0122,0.1631
대구광역시,달서구,0.0297,0.0164,0.1338
경상북도,군위군,0.0291,0.0151,0.1305
대구광역시,동구,0.0278,0.0098,0.1369
울산광역시,중구(울산),0.0276,0.0086,0.1381
경상남도,합천군,0.0272,0.0092,0.1575
경상남도,함안군,0.0268,0.0089,0.1956
대구광역시,남구(대구),0.0241,0.0067,0.1263
경상북도,성주군,0.0222,0.004,0.1348
경상북도,김천시,0.0221,0.0089,0.1092
경상북도,문경시,0.0211,0.0059,0.1345
대구광역시,동구(대구),0.0209,0.0078,0.1175
경상북도,고령군,0.0204,0.0081,0.1116
대구광역시,서구,0.0196,0.0034,0.12
경상북도,영덕군,0.0195,0.0061,0.1033
경상북도,영주시,0.0187,0.003,0.1382
경상북도,경주시,0.016,0.0027,0.1168
경상남도,거창군,0.0156,0.0027,0.1207
대구광역시,북구,0.0153,0.0045,0.0897
경상북도,포항시,0.014,0.0032,0.1175
경상북도,영천시,0.0132,0.0033,0.0997
대구광역시,수성구,0.013,0.0025,0.0868
부산광역시,북구(부산),0.013,0.0039,0.0919
경상북도,봉화군,0.0109,0.0039,0.0976
경상북도,경산시,0.0107,0.0014,0.0951
대구광역시,중구,0.0102,0.002,0.0966
대구광역시,남구,0.0099,0.0029,0.0719
대구광역시,달성군,0.0095,0.0019,0.0806
경상북도,예천군,0.0084,0.0027,0.0701
경상북도,청도군,0.0071,0.0012,0.0655
경상남도,마산시,0.0063,0.0005,0.06
대구광역시,북구(대구),0.0044,0.0011,0.04
부산광역시,서구(부산),0.0002,0.0001,0.0035
부산광역시,동구(부산),0.0001,0.0,0.0042
