huboid,name,party,office,office_type,sdName,sggName,nec_detail_url,tax_arrears_5y_thousand_krw,tax_arrears_5y_display,tax_arrears_current_thousand_krw,tax_arrears_current_display,criminal_record_disclosure,categories,important_categories,공직검증전과_분류수,공직검증전과_건수,체납이력_보유,현체납_보유,전과공개_보유,공직검증전과_보유,공직선거법전과_보유,해당선거구_경쟁률,해당선거구_의원정수,해당선거구_무투표판정기준,해당선거구_비례대표_단일정당명부여부,등록미달여부,검증위험_플래그
100163912,김대진,국민의힘,시도의원,지역구,경상북도,안동시제1선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163912,3307,"3,307천원",0,0천원,2건,음주·위험운전; 도로교통,음주·위험운전,1,1,Y,N,Y,Y,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100163389,신윤경,더불어민주당,구시군의회의원,지역구,서울특별시,은평구바선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163389,3143,"3,143천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100162726,최혜숙,국민의힘,구시군의회의원,지역구,서울특별시,양천구아선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162726,3037,"3,037천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100155185,최인희,더불어민주당,구시군의회의원,지역구,부산광역시,부산진구다선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100155185,2452,"2,452천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100156938,정기성,더불어민주당,시도의원,지역구,전라남도,장성군제2선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100156938,2140,"2,140천원",0,0천원,1건,음주·위험운전; 도로교통,음주·위험운전,1,1,Y,N,Y,Y,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100162882,조미선,국민의힘,구시군의회의원,지역구,경기도,오산시나선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100162882,2082,"2,082천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,4,등록후보수_의원정수이하,N,N,Y
100154298,서명일,더불어민주당,구시군의회의원,지역구,경상남도,창원시타선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100154298,1915,"1,915천원",0,0천원,1건,허위공문서·문서위조·공용서류,허위공문서·문서위조·공용서류,1,1,Y,N,Y,Y,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100164835,박은화,국민의힘,기초의원비례,비례,경상북도,칠곡군,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164835,1887,"1,887천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,1,등록후보수_의원정수이하,N,N,Y
100164427,안선영,국민의힘,기초의원비례,비례,부산광역시,동래구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100164427,1846,"1,846천원",0,0천원,없음,,,0,0,Y,N,N,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
100163259,전경구,국민의힘,구시군의회의원,지역구,서울특별시,중랑구마선거구,https://info.nec.go.kr/electioninfo/candidate_detail_info.xhtml?electionId=0020260603&huboId=100163259,1826,"1,826천원",0,0천원,1건,폭력,,0,0,Y,N,Y,N,N,1.00,2,등록후보수_의원정수이하,N,N,Y
