시도,시군구,8회당선정당,8회1·2위격차%p,9회사전투표율,본선후보수,본선구도(이름·정당),무소속수,다당경쟁,검색우선순위,[폴]조사기관,[폴]조사일,[폴]1위지지율,[폴]2위지지율,[폴]출처URL,[폴]여심위번호
경상남도,고성군,국민의힘,14.46,31.7,4,백수명(더불) / 하학열(국민) / 이옥철(무소) / 양정건(무소),2,Y,,,,,,,
경상남도,김해시,국민의힘,14.58,22.2,3,정영두(더불) / 홍태용(국민) / 박봉열(진보),0,Y,,,,,,,
경상남도,남해군,더불어민주당,12.28,36.9,2,류경완(더불) / 류성식(국민),0,Y,②텃밭거스름,,,,,,
경상남도,밀양시,국민의힘,57.74,27.2,2,이주옥(더불) / 안병구(국민),0,Y,,,,,,,
경상남도,사천시,국민의힘,40.63,28.0,2,정국정(더불) / 박동식(국민),0,Y,,,,,,,
경상남도,산청군,국민의힘,8.74,37.1,3,최호림(더불) / 유명현(국민) / 이황석(무소),1,Y,,,,,,,
경상남도,양산시,국민의힘,24.13,18.5,2,조문관(더불) / 나동연(국민),0,Y,,,,,,,
경상남도,의령군,무소속,12.93,35.4,3,손태영(더불) / 강원덕(국민) / 오태완(무소),1,Y,②텃밭거스름,,,,,,
경상남도,진주시,국민의힘,44.66,26.2,3,갈상돈(더불) / 한경호(국민) / 조규일(무소),1,Y,,,,,,,
경상남도,창녕군,국민의힘,12.33,30.8,2,주윤식(더불) / 성낙인(국민),0,Y,,,,,,,
경상남도,창원시,국민의힘,19.1,22.0,4,송순호(더불) / 강기윤(국민) / 강명상(개혁) / 박정임(무소),1,Y,,,,,,,
경상남도,통영시,국민의힘,2.8,28.4,3,강석주(더불) / 천영기(국민) / 박청정(무소),1,Y,①초접전(8회≤3%p),,,,,,
경상남도,하동군,무소속,8.01,40.9,3,제윤경(더불) / 김현수(국민) / 남명우(무소),1,Y,②텃밭거스름,,,,,,
경상남도,함안군,국민의힘,34.86,28.3,2,정금효(더불) / 차석호(국민),0,Y,,,,,,,
경상남도,함양군,무소속,18.18,38.9,4,서필상(더불) / 진병영(국민) / 이철우(무소) / 김재웅(무소),2,Y,②텃밭거스름,,,,,,
경상남도,합천군,국민의힘,46.24,35.0,2,류순철(국민) / 김윤철(무소),1,Y,,,,,,,
