시도,시군구,8회당선정당,8회1·2위격차%p,9회사전투표율,본선후보수,본선구도(이름·정당),무소속수,다당경쟁,검색우선순위,[폴]조사기관,[폴]조사일,[폴]1위지지율,[폴]2위지지율,[폴]출처URL,[폴]여심위번호
대구광역시,수성구,국민의힘,50.54,20.8,2,박정권(더불) / 김대권(국민),0,Y,,,,,,,
대구광역시,중구,,,20.3,2,오영준(더불) / 류규하(국민),0,Y,,,,,,,
인천광역시,강화군,무소속,11.98,33.0,3,한연희(더불) / 박용철(국민) / 문경신(무소),1,Y,,,,,,,
인천광역시,검단구,,,21.7,2,김진규(더불) / 박세훈(국민),0,Y,,,,,,,
인천광역시,계양구,더불어민주당,6.06,21.3,2,박형우(더불) / 이병택(국민),0,Y,④접전(8회≤8%p),,,,,,
인천광역시,남동구,국민의힘,2.1,20.9,2,이병래(더불) / 박종효(국민),0,Y,①초접전(8회≤3%p),,,,,,
인천광역시,미추홀구,국민의힘,9.46,20.3,2,김정식(더불) / 이영훈(국민),0,Y,,,,,,,
인천광역시,부평구,더불어민주당,2.58,21.5,2,차준택(더불) / 이단비(국민),0,Y,①초접전(8회≤3%p),,,,,,
인천광역시,서구,국민의힘,2.34,20.7,3,구재용(더불) / 강범석(국민) / 김용섭(무소),1,Y,①초접전(8회≤3%p),,,,,,
인천광역시,연수구,국민의힘,9.64,21.9,2,정지열(더불) / 이재호(국민),0,Y,,,,,,,
인천광역시,영종구,,,21.0,3,손화정(더불) / 김정헌(국민) / 안광호(조국),0,Y,,,,,,,
인천광역시,옹진군,국민의힘,10.94,34.6,2,장정민(더불) / 문경복(국민),0,Y,,,,,,,
인천광역시,제물포구,,,23.6,2,남궁형(더불) / 김찬진(국민),0,Y,,,,,,,
광주광역시,광산구,,,24.6,2,박병규(더불) / 정희성(진보),0,Y,,,,,,,
광주광역시,남구,더불어민주당,68.14,29.7,1,김병내(더불),0,,,,,,,,
광주광역시,동구,더불어민주당,60.8,32.2,2,임택(더불) / 김성환(조국),0,Y,,,,,,,
광주광역시,북구,더불어민주당,68.54,28.7,4,신수정(더불) / 김주업(진보) / 김성현(무소) / 노남수(무소),2,Y,,,,,,,
광주광역시,서구,더불어민주당,30.04,27.8,1,김이강(더불),0,,,,,,,,
대전광역시,대덕구,국민의힘,6.74,22.2,2,김찬술(더불) / 최충규(국민),0,Y,④접전(8회≤8%p),,,,,,
대전광역시,동구,국민의힘,3.2,22.8,3,황인호(더불) / 박희조(국민) / 한현택(무소),1,Y,④접전(8회≤8%p),,,,,,
대전광역시,서구,국민의힘,6.5,21.8,3,전문학(더불) / 서철모(국민) / 유지곤(조국),0,Y,④접전(8회≤8%p),,,,,,
대전광역시,유성구,더불어민주당,2.32,23.9,2,정용래(더불) / 조원휘(국민),0,Y,①초접전(8회≤3%p),,,,,,
대전광역시,중구,국민의힘,13.48,21.8,2,김제선(더불) / 김선광(국민),0,Y,,,,,,,
울산광역시,남구,국민의힘,32.34,21.0,4,최덕종(더불) / 임현철(국민) / 방인섭(개혁) / 김진석(진보),0,Y,,,,,,,
울산광역시,동구,진보당,9.66,23.8,3,천기옥(국민) / 박문옥(진보) / 이장우(노동),0,Y,②텃밭거스름,,,,,,
울산광역시,북구,국민의힘,10.59,22.8,2,이동권(더불) / 박천동(국민),0,Y,,,,,,,
울산광역시,울주군,국민의힘,17.62,23.3,3,김시욱(더불) / 이순걸(국민) / 강상규(진보),0,Y,,,,,,,
울산광역시,중구,국민의힘,18.84,22.4,3,박태완(더불) / 김영길(국민) / 고호근(무소),1,Y,,,,,,,
경기도,가평군,국민의힘,29.82,25.7,5,김경호(더불) / 서태원(국민) / 이충선(무소) / 이진용(무소) / 신동진(무소),3,Y,,,,,,,
경기도,고양시,국민의힘,7.3,21.1,4,민경선(더불) / 이동환(국민) / 신현철(개혁) / 송영주(진보),0,Y,④접전(8회≤8%p),,,,,,
경기도,과천시,국민의힘,12.72,26.0,3,김종천(더불) / 신계용(국민) / 고금란(개혁),0,Y,,,,,,,
경기도,광명시,더불어민주당,6.88,24.1,2,박승원(더불) / 김정호(국민),0,Y,④접전(8회≤8%p),,,,,,
경기도,광주시,국민의힘,7.78,21.5,2,박관열(더불) / 방세환(국민),0,Y,④접전(8회≤8%p),,,,,,
경기도,구리시,국민의힘,10.53,21.3,2,신동화(더불) / 백경현(국민),0,Y,,,,,,,
경기도,군포시,국민의힘,0.9,22.4,2,한대희(더불) / 하은호(국민),0,Y,①초접전(8회≤3%p),,,,,,
경기도,김포시,국민의힘,7.62,18.6,2,이기형(더불) / 김병수(국민),0,Y,④접전(8회≤8%p),,,,,,
경기도,남양주시,국민의힘,6.88,18.9,2,최현덕(더불) / 주광덕(국민),0,Y,④접전(8회≤8%p),,,,,,
경기도,동두천시,국민의힘,10.94,23.3,2,이인규(더불) / 박형덕(국민),0,Y,,,,,,,
