시도,시군구,등록폴수,최신등록일,조사기관,의뢰자,조사방법,조사명칭,공표여부,결과분석PDF_URL,상세페이지URL
서울특별시,송파구,6,2026-05-25,모노커뮤니케이션즈(모노리서치),국제뉴스통신사 서울본부,무선 ARS,서울특별시 송파구    기초단체장선거 정당지지도,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVJ34j9Lu%2B6f14BfyPBP2IGw%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=%2FxbpyawukwxUFQ%2FCF8Y0xA%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18996&menuNo=200467
서울특별시,양천구,2,2026-05-25,(주)리얼미터,미디어트리뷴,무선 ARS,서울특별시 양천구    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19059&menuNo=200467
서울특별시,영등포구,0,,,,,,폴없음,,
서울특별시,용산구,0,,,,,,폴없음,,
서울특별시,은평구,0,,,,,,폴없음,,
서울특별시,종로구,1,2026-04-07,(주)비전코리아,중앙경제신문/포털신문,무선 ARS,서울특별시 종로구    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18106&menuNo=200467
서울특별시,중구,2,2026-05-18,윈지코리아컨설팅,한강타임즈,무선 ARS,서울특별시 중구    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=18782&menuNo=200467
서울특별시,중랑구,1,2026-05-25,(주)이너텍시스템즈,뉴스나인코리아,무선 ARS,서울특별시 중랑구    기초단체장선거 정당지지도,공표가능(~5/27),,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19042&menuNo=200467
울산광역시,남구,4,2026-05-27,한길리서치,경상일보/울산MBC,무선 ARS,울산광역시 남구    정당지지도 기초단체장선거,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVN5RD479oQJJoAyFx%2FoJ2JI%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=RCLGNfSQrruzah%2FX9MVHSg%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19206&menuNo=200467
울산광역시,동구,3,2026-05-27,한길리서치,경상일보/울산MBC,무선 ARS,울산광역시 동구    정당지지도 기초단체장선거,공표가능(~5/27),https://www.nesdc.go.kr/portal/cmm/fms/FileDown.do?atchFileId=ikcPlwKjg0hn1mJijYVWVEDQWScCVU7Km%2BbOcRLOSdg%3D&fileSn=wvE0duRcZoHPoK1KPjPIzA%3D%3D&bbsId=B0000005&bbsKey=ak7uFrHlcgEN9sRcC8xLDg%3D%3D,https://www.nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=19207&menuNo=200467
