선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_조지훈,진보당_강성희,무소속_김광종,유효표_계,무효투표수,기권자수
전주시,인후1동,계,subtotal,13345,7725,5609,1243,516,7368,357,5620
전주시,인후1동,관내사전투표,ballot,3880,3877,2890,651,187,3728,149,3
전주시,인후1동,선거일투표,ballot,9465,3848,2719,592,329,3640,208,5617
전주시,인후2동,계,subtotal,8197,4209,3074,591,320,3985,224,3988
전주시,인후2동,관내사전투표,ballot,1496,1494,1126,214,79,1419,75,2
전주시,인후2동,선거일투표,ballot,6701,2715,1948,377,241,2566,149,3986
전주시,인후3동,계,subtotal,22128,10447,7844,1562,689,10095,352,11681
전주시,인후3동,관내사전투표,ballot,3837,3837,2928,641,163,3732,105,0
전주시,인후3동,선거일투표,ballot,18291,6610,4916,921,526,6363,247,11681
전주시,전체,잘못투입·구분된투표지,special,0,104,76,16,4,96,8,-104
