선거구명,동,투표구명,분류,선거인수,투표수,더불어민주당_최정호,조국혁신당_임형택,무소속_박경철,무소속_황세연,유효표_계,무효투표수,기권자수
익산시,송학동,선거일투표,ballot,6447,2555,1801,530,125,52,2508,47,3892
익산시,신동,계,subtotal,12922,5754,3956,1079,329,180,5544,210,7168
익산시,신동,관내사전투표,ballot,2488,2487,1787,453,96,51,2387,100,1
익산시,신동,선거일투표,ballot,10434,3267,2169,626,233,129,3157,110,7167
익산시,영등1동,계,subtotal,15407,8118,5837,1541,343,199,7920,198,7289
익산시,영등1동,관내사전투표,ballot,3619,3619,2712,666,105,61,3544,75,0
익산시,영등1동,선거일투표,ballot,11788,4499,3125,875,238,138,4376,123,7289
익산시,영등2동,계,subtotal,9602,5254,3578,1238,219,121,5156,98,4348
익산시,영등2동,관내사전투표,ballot,2657,2655,1864,605,91,52,2612,43,2
익산시,영등2동,선거일투표,ballot,6945,2599,1714,633,128,69,2544,55,4346
익산시,어양동,계,subtotal,16657,8243,5890,1669,309,214,8082,161,8414
익산시,어양동,관내사전투표,ballot,3506,3504,2625,666,105,53,3449,55,2
익산시,어양동,선거일투표,ballot,13151,4739,3265,1003,204,161,4633,106,8412
익산시,팔봉동,계,subtotal,4767,2636,1865,432,135,65,2497,139,2131
익산시,팔봉동,관내사전투표,ballot,1381,1380,979,225,51,25,1280,100,1
익산시,팔봉동,선거일투표,ballot,3386,1256,886,207,84,40,1217,39,2130
익산시,삼성동,계,subtotal,23335,11868,8434,2371,542,274,11621,247,11467
익산시,삼성동,관내사전투표,ballot,5078,5076,3701,1043,169,80,4993,83,2
익산시,삼성동,선거일투표,ballot,18257,6792,4733,1328,373,194,6628,164,11465
익산시,전체,잘못투입·구분된투표지,special,0,39,28,6,2,0,36,3,-39
