회차,연도,선거일,선거구명,동,투표구명,분류,선거인수,투표수,유효표_계,무효투표수,기권자수,후보순번,정당,후보명,득표수,득표율_유효표대비
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제6투,box,2312,1201,1190,11,1111,2,새천년민주당,박희동,22,1.85
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제6투,box,2312,1201,1190,11,1111,3,열린우리당,이철,534,44.87
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제6투,box,2312,1201,1190,11,1111,4,자민련,노태석,9,0.76
17,2004,2004-04-15,북구·강서구갑,구포2동,구포2동제6투,box,2312,1201,1190,11,1111,5,무소속,도희윤,19,1.6
17,2004,2004-04-15,북구·강서구갑,구포2동,소계,subtotal,21204,11983,11902,81,9221,1,한나라당,정형근,5618,47.2
17,2004,2004-04-15,북구·강서구갑,구포2동,소계,subtotal,21204,11983,11902,81,9221,2,새천년민주당,박희동,223,1.87
17,2004,2004-04-15,북구·강서구갑,구포2동,소계,subtotal,21204,11983,11902,81,9221,3,열린우리당,이철,5639,47.38
17,2004,2004-04-15,북구·강서구갑,구포2동,소계,subtotal,21204,11983,11902,81,9221,4,자민련,노태석,67,0.56
17,2004,2004-04-15,북구·강서구갑,구포2동,소계,subtotal,21204,11983,11902,81,9221,5,무소속,도희윤,355,2.98
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제1투,box,3488,1877,1865,12,1611,1,한나라당,정형근,945,50.67
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제1투,box,3488,1877,1865,12,1611,2,새천년민주당,박희동,30,1.61
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제1투,box,3488,1877,1865,12,1611,3,열린우리당,이철,824,44.18
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제1투,box,3488,1877,1865,12,1611,4,자민련,노태석,13,0.7
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제1투,box,3488,1877,1865,12,1611,5,무소속,도희윤,53,2.84
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제2투,box,3357,1865,1852,13,1492,1,한나라당,정형근,859,46.38
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제2투,box,3357,1865,1852,13,1492,2,새천년민주당,박희동,35,1.89
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제2투,box,3357,1865,1852,13,1492,3,열린우리당,이철,898,48.49
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제2투,box,3357,1865,1852,13,1492,4,자민련,노태석,9,0.49
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제2투,box,3357,1865,1852,13,1492,5,무소속,도희윤,51,2.75
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제3투,box,3428,1892,1880,12,1536,1,한나라당,정형근,842,44.79
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제3투,box,3428,1892,1880,12,1536,2,새천년민주당,박희동,50,2.66
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제3투,box,3428,1892,1880,12,1536,3,열린우리당,이철,904,48.09
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제3투,box,3428,1892,1880,12,1536,4,자민련,노태석,9,0.48
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제3투,box,3428,1892,1880,12,1536,5,무소속,도희윤,75,3.99
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제4투,box,3744,2189,2177,12,1555,1,한나라당,정형근,1058,48.6
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제4투,box,3744,2189,2177,12,1555,2,새천년민주당,박희동,43,1.98
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제4투,box,3744,2189,2177,12,1555,3,열린우리당,이철,999,45.89
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제4투,box,3744,2189,2177,12,1555,4,자민련,노태석,8,0.37
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제4투,box,3744,2189,2177,12,1555,5,무소속,도희윤,69,3.17
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제5투,box,3345,1944,1931,13,1401,1,한나라당,정형근,903,46.76
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제5투,box,3345,1944,1931,13,1401,2,새천년민주당,박희동,31,1.61
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제5투,box,3345,1944,1931,13,1401,3,열린우리당,이철,938,48.58
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제5투,box,3345,1944,1931,13,1401,4,자민련,노태석,13,0.67
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제5투,box,3345,1944,1931,13,1401,5,무소속,도희윤,46,2.38
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제6투,box,3842,2216,2197,19,1626,1,한나라당,정형근,1011,46.02
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제6투,box,3842,2216,2197,19,1626,2,새천년민주당,박희동,34,1.55
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제6투,box,3842,2216,2197,19,1626,3,열린우리당,이철,1076,48.98
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제6투,box,3842,2216,2197,19,1626,4,자민련,노태석,15,0.68
17,2004,2004-04-15,북구·강서구갑,구포3동,구포3동제6투,box,3842,2216,2197,19,1626,5,무소속,도희윤,61,2.78
17,2004,2004-04-15,북구·강서구갑,구포3동,소계,subtotal,14332,8612,8542,70,5720,1,한나라당,정형근,4520,52.92
17,2004,2004-04-15,북구·강서구갑,구포3동,소계,subtotal,14332,8612,8542,70,5720,2,새천년민주당,박희동,149,1.74
17,2004,2004-04-15,북구·강서구갑,구포3동,소계,subtotal,14332,8612,8542,70,5720,3,열린우리당,이철,3590,42.03
17,2004,2004-04-15,북구·강서구갑,구포3동,소계,subtotal,14332,8612,8542,70,5720,4,자민련,노태석,72,0.84
17,2004,2004-04-15,북구·강서구갑,구포3동,소계,subtotal,14332,8612,8542,70,5720,5,무소속,도희윤,211,2.47
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제1투,box,3470,2085,2069,16,1385,1,한나라당,정형근,1123,54.28
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제1투,box,3470,2085,2069,16,1385,2,새천년민주당,박희동,28,1.35
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제1투,box,3470,2085,2069,16,1385,3,열린우리당,이철,850,41.08
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제1투,box,3470,2085,2069,16,1385,4,자민련,노태석,18,0.87
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제1투,box,3470,2085,2069,16,1385,5,무소속,도희윤,50,2.42
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제2투,box,3854,2356,2339,17,1498,1,한나라당,정형근,1270,54.3
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제2투,box,3854,2356,2339,17,1498,2,새천년민주당,박희동,42,1.8
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제2투,box,3854,2356,2339,17,1498,3,열린우리당,이철,959,41.0
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제2투,box,3854,2356,2339,17,1498,4,자민련,노태석,17,0.73
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제2투,box,3854,2356,2339,17,1498,5,무소속,도희윤,51,2.18
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제3투,box,2916,1702,1685,17,1214,1,한나라당,정형근,826,49.02
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제3투,box,2916,1702,1685,17,1214,2,새천년민주당,박희동,32,1.9
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제3투,box,2916,1702,1685,17,1214,3,열린우리당,이철,765,45.4
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제3투,box,2916,1702,1685,17,1214,4,자민련,노태석,19,1.13
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제3투,box,2916,1702,1685,17,1214,5,무소속,도희윤,43,2.55
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제4투,box,4092,2469,2449,20,1623,1,한나라당,정형근,1301,53.12
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제4투,box,4092,2469,2449,20,1623,2,새천년민주당,박희동,47,1.92
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제4투,box,4092,2469,2449,20,1623,3,열린우리당,이철,1016,41.49
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제4투,box,4092,2469,2449,20,1623,4,자민련,노태석,18,0.73
17,2004,2004-04-15,북구·강서구갑,덕천1동,덕천1동제4투,box,4092,2469,2449,20,1623,5,무소속,도희윤,67,2.74
17,2004,2004-04-15,북구·강서구갑,덕천1동,소계,subtotal,10838,6325,6249,76,4513,1,한나라당,정형근,3322,53.16
17,2004,2004-04-15,북구·강서구갑,덕천1동,소계,subtotal,10838,6325,6249,76,4513,2,새천년민주당,박희동,119,1.9
17,2004,2004-04-15,북구·강서구갑,덕천1동,소계,subtotal,10838,6325,6249,76,4513,3,열린우리당,이철,2614,41.83
17,2004,2004-04-15,북구·강서구갑,덕천1동,소계,subtotal,10838,6325,6249,76,4513,4,자민련,노태석,58,0.93
17,2004,2004-04-15,북구·강서구갑,덕천1동,소계,subtotal,10838,6325,6249,76,4513,5,무소속,도희윤,136,2.18
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제1투,box,2913,1781,1757,24,1132,1,한나라당,정형근,892,50.77
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제1투,box,2913,1781,1757,24,1132,2,새천년민주당,박희동,28,1.59
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제1투,box,2913,1781,1757,24,1132,3,열린우리당,이철,780,44.39
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제1투,box,2913,1781,1757,24,1132,4,자민련,노태석,15,0.85
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제1투,box,2913,1781,1757,24,1132,5,무소속,도희윤,42,2.39
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제2투,box,2536,1496,1480,16,1040,1,한나라당,정형근,778,52.57
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제2투,box,2536,1496,1480,16,1040,2,새천년민주당,박희동,33,2.23
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제2투,box,2536,1496,1480,16,1040,3,열린우리당,이철,628,42.43
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제2투,box,2536,1496,1480,16,1040,4,자민련,노태석,13,0.88
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제2투,box,2536,1496,1480,16,1040,5,무소속,도희윤,28,1.89
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제3투,box,3036,1736,1726,10,1300,1,한나라당,정형근,956,55.39
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제3투,box,3036,1736,1726,10,1300,2,새천년민주당,박희동,19,1.1
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제3투,box,3036,1736,1726,10,1300,3,열린우리당,이철,709,41.08
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제3투,box,3036,1736,1726,10,1300,4,자민련,노태석,11,0.64
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제3투,box,3036,1736,1726,10,1300,5,무소속,도희윤,31,1.8
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제4투,box,2353,1312,1286,26,1041,1,한나라당,정형근,696,54.12
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제4투,box,2353,1312,1286,26,1041,2,새천년민주당,박희동,39,3.03
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제4투,box,2353,1312,1286,26,1041,3,열린우리당,이철,497,38.65
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제4투,box,2353,1312,1286,26,1041,4,자민련,노태석,19,1.48
17,2004,2004-04-15,북구·강서구갑,덕천3동,덕천3동제4투,box,2353,1312,1286,26,1041,5,무소속,도희윤,35,2.72
17,2004,2004-04-15,북구·강서구갑,덕천3동,소계,subtotal,12589,7801,7729,72,4788,1,한나라당,정형근,4160,53.82
17,2004,2004-04-15,북구·강서구갑,덕천3동,소계,subtotal,12589,7801,7729,72,4788,2,새천년민주당,박희동,125,1.62
17,2004,2004-04-15,북구·강서구갑,덕천3동,소계,subtotal,12589,7801,7729,72,4788,3,열린우리당,이철,3201,41.42
17,2004,2004-04-15,북구·강서구갑,덕천3동,소계,subtotal,12589,7801,7729,72,4788,4,자민련,노태석,63,0.82
17,2004,2004-04-15,북구·강서구갑,덕천3동,소계,subtotal,12589,7801,7729,72,4788,5,무소속,도희윤,180,2.33
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제1투,box,3360,2107,2090,17,1253,1,한나라당,정형근,1136,54.35
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제1투,box,3360,2107,2090,17,1253,2,새천년민주당,박희동,34,1.63
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제1투,box,3360,2107,2090,17,1253,3,열린우리당,이철,864,41.34
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제1투,box,3360,2107,2090,17,1253,4,자민련,노태석,18,0.86
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제1투,box,3360,2107,2090,17,1253,5,무소속,도희윤,38,1.82
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제2투,box,3065,1842,1825,17,1223,1,한나라당,정형근,1025,56.16
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제2투,box,3065,1842,1825,17,1223,2,새천년민주당,박희동,34,1.86
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제2투,box,3065,1842,1825,17,1223,3,열린우리당,이철,716,39.23
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제2투,box,3065,1842,1825,17,1223,4,자민련,노태석,18,0.99
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제2투,box,3065,1842,1825,17,1223,5,무소속,도희윤,32,1.75
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제3투,box,2659,1614,1591,23,1045,1,한나라당,정형근,842,52.92
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제3투,box,2659,1614,1591,23,1045,2,새천년민주당,박희동,27,1.7
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제3투,box,2659,1614,1591,23,1045,3,열린우리당,이철,669,42.05
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제3투,box,2659,1614,1591,23,1045,4,자민련,노태석,16,1.01
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제3투,box,2659,1614,1591,23,1045,5,무소속,도희윤,37,2.33
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제4투,box,3505,2238,2223,15,1267,1,한나라당,정형근,1157,52.05
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제4투,box,3505,2238,2223,15,1267,2,새천년민주당,박희동,30,1.35
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제4투,box,3505,2238,2223,15,1267,3,열린우리당,이철,952,42.83
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제4투,box,3505,2238,2223,15,1267,4,자민련,노태석,11,0.49
17,2004,2004-04-15,북구·강서구갑,만덕1동,만덕1동제4투,box,3505,2238,2223,15,1267,5,무소속,도희윤,73,3.28
17,2004,2004-04-15,북구·강서구갑,만덕1동,소계,subtotal,18840,11870,11801,69,6970,1,한나라당,정형근,6014,50.96
17,2004,2004-04-15,북구·강서구갑,만덕1동,소계,subtotal,18840,11870,11801,69,6970,2,새천년민주당,박희동,152,1.29
17,2004,2004-04-15,북구·강서구갑,만덕1동,소계,subtotal,18840,11870,11801,69,6970,3,열린우리당,이철,5296,44.88
17,2004,2004-04-15,북구·강서구갑,만덕1동,소계,subtotal,18840,11870,11801,69,6970,4,자민련,노태석,65,0.55
17,2004,2004-04-15,북구·강서구갑,만덕1동,소계,subtotal,18840,11870,11801,69,6970,5,무소속,도희윤,274,2.32
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제1투,box,3014,1925,1918,7,1089,1,한나라당,정형근,989,51.56
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제1투,box,3014,1925,1918,7,1089,2,새천년민주당,박희동,36,1.88
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제1투,box,3014,1925,1918,7,1089,3,열린우리당,이철,844,44.0
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제1투,box,3014,1925,1918,7,1089,4,자민련,노태석,9,0.47
17,2004,2004-04-15,북구·강서구갑,만덕2동,만덕2동제1투,box,3014,1925,1918,7,1089,5,무소속,도희윤,40,2.09
